lnee,lnprdty,urintensity,lnrw
711.83,454.45,638.68,407.48
711.67,454.74,592.47,406.77
711.09,454.89,603.54,405.43
710.89,454.87,618.83,403.88
711.31,454.70,604.69,401.74
711.53,455.01,571.15,399.86
710.25,455.81,638.20,399.71
710.02,457.07,646.31,401.20
709.95,458.78,666.28,402.05
709.27,460.16,648.21,401.19
708.40,461.22,650.43,401.37
709.06,461.97,686.92,401.38
709.14,462.42,676.22,399.98
708.18,462.60,685.30,401.99
708.25,462.53,664.36,401.29
707.82,462.19,676.36,401.75
707.10,461.59,695.62,401.51
707.24,461.83,667.01,401.50
707.38,462.90,703.12,401.67
706.96,464.77,672.79,400.47
706.68,467.40,666.71,401.24
706.56,469.09,660.32,399.43
706.55,469.88,627.73,394.99
706.26,469.80,680.09,393.29
706.42,468.84,644.90,390.95
706.57,467.99,628.10,386.69
706.94,467.27,661.31,385.14
706.89,466.68,633.12,387.09
707.33,466.21,631.31,390.79
707.54,465.68,617.26,387.40
707.81,465.09,600.11,386.86
707.77,464.43,660.04,387.57
708.61,463.71,647.60,391.02
707.67,463.54,652.71,385.27
707.09,463.94,668.44,377.79
707.15,464.90,684.88,375.63
705.73,466.41,693.89,372.52
705.70,467.40,725.73,364.28
705.71,467.90,731.27,364.63
705.72,467.91,743.08,365.26
704.67,467.44,742.69,368.12
705.04,466.97,761.86,372.98
705.11,466.52,746.11,375.15
705.08,466.08,771.34,375.21
705.64,465.65,781.20,375.20
705.60,465.24,776.20,373.32
705.54,464.85,771.71,374.16
705.23,464.49,762.56,370.56
705.46,464.14,790.02,371.09
706.13,463.94,766.82,370.66
707.30,463.86,780.87,367.39
706.69,463.92,765.77,372.52
706.25,464.12,767.10,370.28
706.46,464.31,760.72,368.99
706.06,464.48,775.93,368.18
706.86,464.65,762.52,369.60
707.30,464.80,740.52,371.70
706.83,464.86,749.96,371.00
706.63,464.83,738.14,368.52
707.16,464.70,710.12,369.47
707.87,464.47,726.13,368.56
707.83,464.26,725.06,367.87
708.06,464.06,664.72,366.59
708.76,463.88,631.39,368.67
709.25,463.71,667.96,372.00
709.47,463.37,688.67,371.40
710.71,462.85,696.91,372.05
710.84,462.15,698.17,373.19
712.23,461.27,666.23,374.32
713.00,460.61,666.37,374.29
713.50,460.19,647.98,374.56
714.13,460.00,684.41,375.89
714.15,460.04,624.67,376.59
714.72,460.00,653.41,376.90
715.47,459.88,677.59,377.50
715.12,459.67,647.70,377.62
715.24,459.37,637.90,376.82
715.63,459.41,631.53,373.33
716.43,459.78,644.07,370.58
717.60,460.49,631.85,371.28
717.09,461.51,639.94,372.78
712.66,462.11,629.55,375.56
714.57,462.29,674.44,370.70
715.64,462.06,668.88,372.14
715.95,461.40,702.65,368.57
715.80,460.78,696.60,370.87
715.94,460.19,675.39,367.29
717.07,459.63,650.57,364.45
717.87,459.11,637.95,372.93
718.82,458.62,608.43,373.45
719.52,458.18,625.88,370.96
719.79,457.78,540.24,367.56
720.49,457.42,612.00,361.89
720.79,457.14,632.37,363.23
720.51,456.96,609.17,358.96
720.92,456.87,630.38,356.54
