Year,Period,FoodandBebrage
2001,Q01,14593523
2001,Q02,14284808
2001,Q03,14829866
2001,Q04,15489777
2002,Q01,14730097
2002,Q02,14455772
2002,Q03,14973088
2002,Q04,15490463
2003,Q01,15114085
2003,Q02,14611585
2003,Q03,15124360
2003,Q04,15948209
2004,Q01,14902634
2004,Q02,14752954
2004,Q03,15509032
2004,Q04,16310608
2005,Q01,15023516
2005,Q02,15056352
2005,Q03,16124343
2005,Q04,16138358
2006,Q01,16252102
2006,Q02,15393755
2006,Q03,15927390
2006,Q04,16512060
2007,Q01,16583747
2007,Q02,15960436
2007,Q03,16470353
2007,Q04,17287517
2008,Q01,16986560
2008,Q02,16295193
2008,Q03,16679912
2008,Q04,18167254
2009,Q01,16299364
2009,Q02,15864691
2009,Q03,16442438
2009,Q04,18048504
2010,Q01,16127503
2010,Q02,16278257
2010,Q03,17244585
2010,Q04,18701360
2011,Q01,16799754
2011,Q02,16710140
2011,Q03,17905956
2011,Q04,17958741
2012,Q01,17969721
2012,Q02,17187664
2012,Q03,17722985
2012,Q04,18855496
2013,Q01,18121397
2013,Q02,17637819
2013,Q03,18073066
2013,Q04,19013388
2014,Q01,18872527
2014,Q02,18091212
2014,Q03,18828160
2014,Q04,20304979
2015,Q01,19419465
2015,Q02,18993224
2015,Q03,20090596
2015,Q04,22173601
2016,Q01,20233893
2016,Q02,20123294
2016,Q03,21879463
2016,Q04,21976923
2017,Q01,22461791
2017,Q02,21406384
2017,Q03,22263644
2017,Q04,23309214
2018,Q01,23373581
2018,Q02,22130768
2018,Q03,22982810
2018,Q04,24085636
2019,Q01,23582372
2019,Q02,22915615
2019,Q03,23835327
2019,Q04,24887038
2020,Q01,24869465
2020,Q02,23501446
2020,Q03,24643482
2020,Q04,27562263
2021,Q01,24975791
2021,Q02,25476740
2021,Q03,27020104
2021,Q04,29747005
2022,Q01,27925366
2022,Q02,27780414
2022,Q03,30493975
2022,Q04,30288280
2023,Q01,31187867
2023,Q02,29237487
2023,Q03,30400511
2023,Q04,31628496
