lnee,lnprdty,urintensity,lnrw
711.8313297,454.4478065,638.6783005,407.4830874
711.6745814,454.7447217,592.4657174,406.7678328
711.0886581,454.8852956,603.5394788,405.4311097
710.889859,454.8701863,618.8271697,403.8773971
711.3060672,454.6993233,604.693981,401.7369426
711.5311307,455.0131372,571.1498361,399.8568839
710.2499356,455.8070943,638.2026457,399.7083731
710.0219667,457.0698706,646.3055937,401.1995156
709.947696,458.7838804,666.2808019,402.0482281
709.2684544,460.1639546,648.2062964,401.1886096
708.4002871,461.2234,650.4329768,401.3744006
709.0632237,461.9721451,686.9224622,401.3817693
709.1353798,462.4170602,676.2184851,399.9763193
708.1792616,462.6010522,685.302298,401.9942265
708.2548569,462.5255587,664.3562233,401.2903167
707.8172931,462.1899906,676.3643358,401.7474296
707.0950646,461.5917168,695.6215004,401.508856
707.2393628,461.8296419,667.0139849,401.4962395
707.383453,462.8978418,703.1181192,401.6662358
706.9647345,464.7701174,672.7879405,400.4656463
706.6751344,467.4020831,666.7127984,401.243841
706.5641829,469.090819,660.3163562,399.4337102
706.5499494,469.8826565,627.7345349,394.9873895
706.2591438,469.7986932,680.0922399,393.2880629
706.4217571,468.8367108,644.9040097,390.9529797
706.572722,467.9943222,628.1048501,386.6913692
706.9392153,467.2746469,661.3118214,385.1395071
706.8853199,466.6803989,633.1241767,387.0887058
707.3297966,466.2138542,631.3135795,390.7855354
707.538612,465.6841142,617.2589472,387.4012944
707.8116709,465.0901812,600.1077789,386.8624951
707.769494,464.4309219,660.0358326,387.5715047
708.6068814,463.70506,647.5974457,391.0184988
707.6653815,463.5416146,652.7084448,385.2716948
707.0894016,463.9433428,668.4424317,377.7931589
707.1488471,464.9034866,684.8808241,375.6291373
705.7266642,466.4061469,693.8922373,372.5209895
705.6979558,467.3997814,725.7250209,364.281465
705.7065692,467.8992797,731.2692679,364.6325124
705.7237938,467.9119966,743.0846336,365.2574238
704.6705298,467.4381182,742.691914,368.119206
705.0440481,466.9744841,761.8573765,372.9788978
705.1104981,466.5212477,746.1124433,375.1498953
705.075834,466.0785608,771.3393316,375.2052482
705.6405143,465.646573,781.1976299,375.1991237
705.6031596,465.2368164,776.2014598,373.3237202
705.5399121,464.8495726,771.7099731,374.1619485
705.2346123,464.4851106,762.5587389,370.5644229
705.4622355,464.1436857,790.0197889,371.0931074
706.1334367,463.935984,766.8164849,370.6640902
707.2958935,463.8628419,780.8724137,367.3866006
706.68935,463.9245547,765.7716614,372.5172219
706.2534333,464.1208731,767.0976996,370.2826167
706.4616568,464.3069617,760.7221404,368.993903
706.0562199,464.4828769,775.9325753,368.1811791
706.8597804,464.6486717,762.5215907,369.5974538
707.3015448,464.8043957,740.5210025,371.7032172
706.8342344,464.8644679,749.9560423,370.9977061
706.626786,464.8290605,738.1360654,368.5200626
707.160166,464.6980721,710.117655,369.4677591
707.8706887,464.4711263,726.1259637,368.5566517
707.8285367,464.2587803,725.0645147,367.8663431
708.0615552,464.0611284,664.7207297,366.5910409
708.7601553,463.8782587,631.3908989,368.6737289
709.2490587,463.7102531,667.9616278,372.0023254
709.4732647,463.3674239,688.6749048,371.3988103
710.7070511,462.8479661,696.9135487,372.0483556
710.8353245,462.1491174,698.1676612,373.1936153
712.232888,461.267108,666.2317108,374.3217605
713.0018443,460.6116873,666.3683955,374.2853668
713.5023645,460.1873778,647.979746,374.5642896
714.1297905,459.9971445,684.4097648,375.8852371
714.1482624,460.0423261,624.6689339,376.5893405
714.7244509,460.0027409,653.4140879,376.9045384
715.4745557,459.8782881,677.5885985,377.4954694
715.1224197,459.6686502,647.7034702,377.6227651
715.2373262,459.3732906,637.9019025,376.8226911
715.6254638,459.4120358,631.5319013,373.3278965
716.4333606,459.7844982,644.06608,370.5789295
717.5999658,460.4869707,631.8450609,371.2834375
717.0888479,461.5125483,639.9407943,372.7821168
712.6569472,462.1119506,629.5546502,375.5570187
714.5669209,462.2927671,674.442445,370.7009902
715.6410619,462.0572665,668.8774914,372.1399546
715.9525159,461.402492,702.6497093,368.5661661
715.7995056,460.7796105,696.597686,370.8737331
715.939558,460.1892479,675.3922514,367.2912803
717.0734739,459.6320057,650.5680808,364.4504473
717.874887,459.1084597,637.9517859,372.9302555
718.8160942,458.6245826,608.4293655,373.4484558
719.5162314,458.1809658,625.8784347,370.9624866
719.7884355,457.7781572,540.2375979,367.5601788
720.4917275,457.4166595,612.000564,361.8938735
720.7909253,457.144676,632.3717688,363.2318513
720.5140127,456.9629419,609.1745692,358.9586406
720.9216975,456.8719508,630.3773959,356.5435308
