foodahe,comp _wage ratio,food mfg comp,foodmfgee,foodmfghrrs,Tot Food Mfg Comp,
10.97,1.23,13.48,3682700,160.00," 7,942,531,720.67 "," 79,425.32 "
11.03,1.23,13.57,3686700,160.53," 8,029,734,397.47 "," 80,297.34 "
11.17,1.23,13.74,3683200,160.93," 8,146,473,326.23 "," 81,464.73 "
11.20,1.23,13.81,3682800,160.80," 8,176,221,933.20 "," 81,762.22 "
11.26,1.23,13.90,3692100,161.20," 8,275,349,423.05 "," 82,753.49 "
11.40,1.23,14.08,3671900,161.07," 8,328,966,575.55 "," 83,289.67 "
11.44,1.23,14.12,3677200,160.80," 8,349,523,874.93 "," 83,495.24 "
11.52,1.23,14.18,3710200,160.93," 8,468,327,065.96 "," 84,683.27 "
11.61,1.23,14.25,3703100,160.80," 8,484,035,422.79 "," 84,840.35 "
11.71,1.23,14.35,3697300,161.07," 8,546,374,610.56 "," 85,463.75 "
11.81,1.22,14.46,3675700,160.80," 8,548,915,460.05 "," 85,489.15 "
11.93,1.22,14.61,3668400,158.93," 8,518,149,764.69 "," 85,181.50 "
12.02,1.23,14.75,3683700,158.80," 8,625,556,122.63 "," 86,255.56 "
12.10,1.23,14.87,3692000,157.73," 8,656,859,227.11 "," 86,568.59 "
12.23,1.23,15.04,3645000,157.87," 8,652,011,888.77 "," 86,520.12 "
12.34,1.23,15.18,3636700,158.53," 8,751,254,882.16 "," 87,512.55 "
12.40,1.23,15.24,3634000,158.80," 8,795,358,865.28 "," 87,953.59 "
12.48,1.23,15.36,3609400,158.80," 8,804,334,874.25 "," 88,043.35 "
12.59,1.23,15.55,3578200,158.00," 8,791,405,527.47 "," 87,914.06 "
12.71,1.24,15.76,3602000,157.87," 8,964,469,585.94 "," 89,644.70 "
12.74,1.25,15.89,3604600,156.93," 8,990,054,838.08 "," 89,900.55 "
12.75,1.25,15.98,3570300,157.47," 8,983,165,996.24 "," 89,831.66 "
12.82,1.26,16.12,3573000,156.67," 9,023,364,289.63 "," 90,233.64 "
12.89,1.26,16.25,3557400,157.07," 9,077,240,168.39 "," 90,772.40 "
12.92,1.26,16.30,3531800,157.47," 9,063,560,601.29 "," 90,635.61 "
12.99,1.26,16.39,3536900,157.33," 9,119,521,315.18 "," 91,195.21 "
13.04,1.26,16.46,3542000,157.87," 9,201,098,212.70 "," 92,010.98 "
12.99,1.26,16.39,3527200,155.87," 9,010,191,109.37 "," 90,101.91 "
13.05,1.26,16.44,3517000,156.00," 9,020,915,829.55 "," 90,209.16 "
13.02,1.26,16.39,3513100,155.47," 8,950,695,682.80 "," 89,506.96 "
13.01,1.26,16.37,3512600,155.60," 8,945,041,391.92 "," 89,450.41 "
13.09,1.26,16.44,3502400,156.53," 9,014,574,021.07 "," 90,145.74 "
13.05,1.25,16.37,3508100,159.20," 9,142,964,893.82 "," 91,429.65 "
13.11,1.25,16.44,3513400,159.20," 9,197,648,488.65 "," 91,976.48 "
13.13,1.25,16.48,3526300,160.13," 9,304,628,359.64 "," 93,046.28 "
13.22,1.26,16.61,3524400,162.00," 9,483,614,976.65 "," 94,836.15 "
13.37,1.26,16.84,3540100,162.53," 9,687,824,005.28 "," 96,878.24 "
13.52,1.26,17.03,3547500,162.00," 9,787,756,051.21 "," 97,877.56 "
13.61,1.26,17.13,3557200,162.67," 9,911,694,693.88 "," 99,116.95 "
13.67,1.26,17.16,3555700,162.93," 9,939,883,992.30 "," 99,398.84 "
13.83,1.25,17.28,3585600,162.40," 10,061,065,185.79 "," 100,610.65 "
13.92,1.25,17.35,3552000,163.33," 10,064,624,714.96 "," 100,646.25 "
14.06,1.24,17.51,3531600,161.87," 10,008,437,848.47 "," 100,084.38 "
14.19,1.25,17.67,3533700,159.73," 9,974,552,004.83 "," 99,745.52 "
14.30,1.25,17.85,3483800,159.87," 9,939,947,550.54 "," 99,399.48 "
14.30,1.25,17.90,3482800,159.87," 9,968,643,957.18 "," 99,686.44 "
14.49,1.26,18.20,3483100,159.33," 10,097,993,101.64 "," 100,979.93 "
14.48,1.26,18.24,3483700,161.20," 10,245,541,851.88 "," 102,455.42 "
14.32,1.27,18.12,3447200,163.07," 10,187,310,388.50 "," 101,873.10 "
14.40,1.27,18.24,3460100,163.20," 10,300,368,009.73 "," 103,003.68 "
14.43,1.26,18.23,3462400,164.00," 10,353,249,700.06 "," 103,532.50 "
14.51,1.26,18.24,3461200,161.47," 10,195,146,403.98 "," 101,951.46 "
14.58,1.25,18.18,3480800,159.60," 10,101,998,765.75 "," 101,019.99 "
14.61,1.24,18.14,3479500,160.67," 10,139,421,777.54 "," 101,394.22 "
14.68,1.24,18.19,3477300,160.93," 10,179,018,371.51 "," 101,790.18 "
14.66,1.24,18.20,3466700,161.47," 10,187,446,245.84 "," 101,874.46 "
14.87,1.25,18.54,3474600,162.00," 10,433,584,461.04 "," 104,335.84 "
15.00,1.25,18.77,3498000,161.33," 10,592,750,068.07 "," 105,927.50 "
15.03,1.25,18.86,3538900,162.27," 10,832,665,982.40 "," 108,326.66 "
15.14,1.26,19.04,3517500,163.20," 10,930,066,884.56 "," 109,300.67 "
15.36,1.26,19.34,3502200,162.67," 11,015,672,741.12 "," 110,156.73 "
15.46,1.26,19.51,3509500,162.67," 11,140,300,461.48 "," 111,403.00 "
15.44,1.27,19.58,3495300,163.47," 11,188,045,626.05 "," 111,880.46 "
15.48,1.28,19.75,3523500,163.07," 11,345,540,929.54 "," 113,455.41 "
