,valueadded.Food.and.beverage.and.tobacco.products
1,163.2
2,174.1
3,175.6
4,178.9
5,175.8
6,174.411
7,176.994
8,180.003
9,182.979
10,187.454
11,193.651
12,195.786
13,198.401
14,190.816
15,195.631
16,197.105
17,193.165
18,184.718
19,192.046
20,201.583
21,218.753
22,229.425
23,244.414
24,239.256
25,237.516
26,233.083
27,224.991
28,220.218
29,215.788
30,209.427
31,208.247
32,206.343
33,215.163
34,215.569
35,219.72
36,228.509
37,216.428
38,221.754
39,228.372
40,231.726
41,231.961
42,230.189
43,234.444
44,243.633
45,247.218
46,257.935
47,259.522
48,265.083
49,265.122
50,262.374
51,264.706
52,266.511
53,265.018
54,263.879
55,269.199
56,270.156
57,266.826
58,264.602
59,264.357
60,264.823
61,267.128
62,273.15
63,283.225
64,294.949
65,295.065
66,295.56
67,296.49
68,311.814
69,310.098
70,318.03
71,311.762
72,325.281
73,335.228
74,308.4
75,303.2
76,312.5
77,323.3
78,338.3
79,331.7
80,341.6
81,349.5
82,348.8
