CIC,Industry,Obs,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
,AGRICULTURE,2426.00,1846.18,38.03,45.89,0.02,0.02
10,"Agricultural production, crops ",710.00,585.42,14.44,18.84,0.02,0.03
11,"Agricultural production, livestock ",627.00,385.72,3.44,5.09,0.01,0.01
12,Veterinary services ,256.00,186.24,1.58,1.58,0.01,0.01
20,Landscape and horticultural services ,681.00,558.29,15.39,17.20,0.03,0.03
30,"Agricultural services, n.e.c. ",152.00,130.51,3.19,3.19,0.02,0.02
,FORESTRY AND FISHERIES,205.00,93.06,11.11,17.72,0.12,0.19
31,Forestry ,139.00,60.66,9.57,14.54,0.16,0.24
32,"Fishing, hunting, and trapping ",66.00,32.40,1.54,3.18,0.05,0.10
,MINING,10365.00,7656.77,1444.74,1516.08,0.19,0.20
40,Metal mining ,109.00,45.61,14.91,16.23,0.33,0.36
41,Coal mining ,156.00,70.01,16.57,17.90,0.24,0.26
42,Oil and gas extraction ,502.00,300.78,10.22,10.34,0.03,0.03
50,"Nonmetallic mining and quarrying, except fuel ",156.00,83.48,13.32,13.32,0.16,0.16
60,CONSTRUCTION ,9442.00,7156.89,1389.72,1458.29,0.19,0.20
,"MANUFACTURING, NONDURABLE GOODS",9672.00,7497.48,1046.50,1110.99,0.14,0.15
100,Meat products ,636.00,459.03,100.38,109.33,0.22,0.24
101,Dairy products ,213.00,158.28,34.24,37.35,0.22,0.24
102,"Canned, frozen and preserved fruits and vegetables ",261.00,190.55,48.09,50.00,0.25,0.26
110,Grain mill products ,199.00,154.45,23.73,24.38,0.15,0.16
111,Bakery products ,300.00,230.96,60.47,63.26,0.26,0.27
112,Sugar and confectionery products ,145.00,100.36,28.40,28.62,0.28,0.29
120,Beverage industries ,238.00,198.54,43.86,47.17,0.22,0.24
121,Miscellaneous food preparations and kindred products ,217.00,157.59,23.01,24.55,0.15,0.16
122,Not specified food industries,12.00,7.45,0.94,0.94,0.13,0.13
130,Tobacco manufactures ,60.00,49.98,12.01,12.01,0.24,0.24
132,Knitting mills ,107.00,83.18,4.71,4.92,0.06,0.06
140,"Dyeing and finishing textiles, except wool and knit goods ",35.00,24.96,2.45,2.45,0.10,0.10
141,Carpets and rugs ,77.00,74.41,4.18,4.18,0.06,0.06
142,"Yarn, thread, and fabric mills ",308.00,280.13,11.48,11.48,0.04,0.04
150,Miscellaneous textile mill products ,45.00,37.76,4.28,5.10,0.11,0.14
151,"Apparel and accessories, except knit ",679.00,545.71,32.76,37.14,0.06,0.07
152,Miscellaneous fabricated textile products ,170.00,134.90,11.12,11.43,0.08,0.08
160,"Pulp, paper, and paperboard mills ",293.00,225.32,93.45,95.58,0.41,0.42
161,Miscellaneous paper and pulp products ,245.00,186.91,31.46,33.18,0.17,0.18
162,Paperboard containers and boxes ,225.00,178.43,39.96,40.74,0.22,0.23
171,Newspaper publishing and printing ,665.00,467.45,46.09,47.53,0.10,0.10
172,"Printing, publishing, and allied industries, except newspapers ",1545.00,1200.02,86.70,94.42,0.07,0.08
180,"Plastics, synthetics, and resins ",221.00,177.11,20.31,24.68,0.11,0.14
181,Drugs ,469.00,378.54,15.19,17.28,0.04,0.05
182,Soaps and cosmetics ,222.00,174.50,16.09,17.19,0.09,0.10
190,"Paints, varnishes, and related products ",90.00,73.12,10.18,11.79,0.14,0.16
191,Agricultural chemicals ,68.00,44.23,6.54,7.11,0.15,0.16
192,Industrial and miscellaneous chemicals ,552.00,401.69,49.42,53.85,0.12,0.13
200,Petroleum refining ,174.00,129.15,31.46,34.24,0.24,0.27
201,Miscellaneous petroleum and coal products ,28.00,23.70,4.87,5.76,0.21,0.24
210,Tires and inner tubes ,136.00,128.64,46.77,48.99,0.36,0.38
211,"Other rubber products, and plastics footwear and belting ",182.00,140.68,22.53,22.53,0.16,0.16
212,Miscellaneous plastics products ,738.00,589.12,68.11,70.52,0.12,0.12
220,Leather tanning and finishing ,12.00,10.18,5.30,5.30,0.52,0.52
221,"Footwear, except rubber and plastic ",57.00,36.99,3.98,3.98,0.11,0.11
222,"Leather products, except footwear ",48.00,43.47,1.99,1.99,0.05,0.05
,"MANUFACTURING, DURABLE GOODS",14822.00,11732.62,1796.00,1900.48,0.15,0.16
230,Logging ,117.00,69.11,1.10,1.87,0.02,0.03
231,"Sawmills, planing mills, and millwork ",530.00,380.54,42.66,45.56,0.11,0.12
232,Wood buildings and mobile homes ,108.00,91.54,5.44,6.27,0.06,0.07
241,Miscellaneous wood products ,171.00,126.62,8.02,9.13,0.06,0.07
242,Furniture and fixtures ,756.00,617.15,54.30,57.55,0.09,0.09
250,Glass and glass products ,233.00,190.56,41.04,41.04,0.22,0.22
251,"Cement, concrete, gypsum, and plaster products ",278.00,215.71,35.71,36.31,0.17,0.17
252,Structural clay products ,38.00,30.96,2.61,2.61,0.08,0.08
261,Pottery and related products ,54.00,40.24,12.99,12.99,0.32,0.32
262,Miscellaneous nonmetallic mineral and stone products ,142.00,110.40,17.63,18.89,0.16,0.17
270,"Blast furnaces, steelworks, rolling and finishing mills ",400.00,317.45,124.58,128.03,0.39,0.40
271,Iron and steel foundries ,124.00,104.60,41.75,41.75,0.40,0.40
272,Primary aluminum industries ,159.00,139.52,45.81,48.73,0.33,0.35
280,Other primary metal industries ,236.00,189.21,30.23,32.62,0.16,0.17
281,"Cutlery, handtools, and general hardware ",134.00,94.56,15.12,16.24,0.16,0.17
282,Fabricated structural metal products ,660.00,522.83,67.84,71.94,0.13,0.14
290,Screw machine products ,79.00,59.83,2.85,2.85,0.05,0.05
291,Metal forgings and stampings ,166.00,134.29,37.99,40.12,0.28,0.30
292,Ordnance ,62.00,44.16,8.62,8.62,0.20,0.20
300,Miscellaneous fabricated metal products ,437.00,358.36,48.65,48.65,0.14,0.14
301,Not specified metal industries,3.00,2.30,0.00,0.00,0.00,0.00
310,Engines and turbines ,74.00,65.68,16.54,16.54,0.25,0.25
311,Farm machinery and equipment ,161.00,99.33,10.29,13.83,0.10,0.14
312,Construction and material handling machines ,278.00,227.37,49.43,50.74,0.22,0.22
320,Metalworking machinery ,376.00,300.28,29.63,32.31,0.10,0.11
321,Office and accounting machines ,45.00,35.01,1.01,1.13,0.03,0.03
322,Computers and related equipment ,624.00,524.30,2.76,3.58,0.01,0.01
331,"Machinery, except electrical, n.e.c. ",1401.00,1112.90,131.82,140.46,0.12,0.13
332,Not specified machinery,5.00,4.22,1.12,1.12,0.27,0.27
340,Household appliances ,146.00,129.64,26.40,29.30,0.20,0.23
341,"Radio, TV, and communication equipment ",524.00,441.49,32.40,35.04,0.07,0.08
342,"Electrical machinery, equipment, and supplies, n.e.c. ",1690.00,1297.00,110.08,121.08,0.08,0.09
350,"Not specified electrical machinery, equipment, and supplies",27.00,29.49,1.64,1.64,0.06,0.06
351,Motor vehicles and motor vehicle equipment ,1615.00,1310.19,469.91,481.32,0.36,0.37
352,Aircraft and parts ,540.00,439.92,113.09,124.40,0.26,0.28
360,Ship and boat building and repairing ,234.00,178.01,29.03,32.00,0.16,0.18
361,Railroad locomotives and equipment ,33.00,25.67,6.30,6.30,0.25,0.25
362,"Guided missiles, space vehicles, and parts ",274.00,222.35,29.93,40.68,0.13,0.18
370,Cycles and miscellaneous transportation equipment ,107.00,85.70,13.25,13.25,0.15,0.15
371,Scientific and controlling instruments ,262.00,205.72,8.54,8.54,0.04,0.04
372,"Medical, dental, and optical instruments and supplies ",518.00,415.42,11.90,14.14,0.03,0.03
380,Photographic equipment and supplies ,123.00,95.67,4.60,4.60,0.05,0.05
381,"Watches, clocks, and clockwork operated devices ",15.00,18.38,3.69,3.69,0.20,0.20
390,"Toys, amusement, and sporting goods ",183.00,139.47,12.07,12.74,0.09,0.09
391,Miscellaneous manufacturing industries ,520.00,359.17,21.92,25.71,0.06,0.07
392,Not specified manufacturing industries,160.00,130.32,13.71,14.58,0.11,0.11
,TRANSPORTATION,7607.00,5764.66,1922.98,2032.12,0.33,0.35
400,Railroads ,459.00,316.73,219.84,225.21,0.69,0.71
401,Bus service and urban transit ,828.00,614.04,222.67,235.59,0.36,0.38
402,Taxicab service ,116.00,86.81,6.88,7.13,0.08,0.08
410,Trucking service ,2859.00,2196.06,411.53,434.69,0.19,0.20
411,Warehousing and storage ,196.00,169.63,13.33,14.63,0.08,0.09
412,U.S. Postal Service ,1214.00,894.76,626.38,663.85,0.70,0.74
420,Water transportation ,236.00,183.23,43.13,45.27,0.24,0.25
421,Air transportation ,1180.00,923.64,357.37,380.98,0.39,0.41
422,"Pipe lines, except natural gas ",24.00,16.10,3.10,3.20,0.19,0.20
432,Services incidental to transportation ,495.00,363.65,18.75,21.55,0.05,0.06
,COMMUNICATIONS,2506.00,1962.96,406.41,441.73,0.21,0.23
440,Radio and television broadcasting and cable ,629.00,465.69,44.38,49.07,0.10,0.11
