Series ID,LUU0204921300,LUU0204794900,LUU0204795000,LUU0204921400,LUU0204801900,LUU0204802000
"Annual
2000",1001,2819,1818,1063,2988,1925
"Annual
2001",908,2592,1685,966,2754,1788
"Annual
2002",807,2399,1592,857,2521,1664
"Annual
2003",762,2173,1411,817,2314,1497
"Annual
2004",720,2036,1316,776,2183,1407
"Annual
2005",707,2017,1310,746,2127,1382
"Annual
2006",637,1827,1190,686,1949,1263
"Annual
2007",628,1734,1107,673,1845,1172
"Annual
2008",584,1723,1139,639,1862,1223
"Annual
2009",562,1470,907,610,1595,985
"Annual
2010",584,1418,835,629,1538,909
"Annual
2011",553,1424,871,596,1521,924
"Annual
2012",507,1338,830,563,1468,906
"Annual
2013",549,1431,883,602,1558,956
"Annual
2014",534,1409,876,572,1517,944
"Annual
2015",494,1369,874,529,1462,933
"Annual
2016",468,1295,827,515,1422,906
"Annual
2017",492,1328,836,548,1461,913
"Annual
2018",490,1340,850,527,1444,917
"Annual
2019",455,1291,835,510,1423,912
"Annual
2020",427,1181,754,468,1289,821
"Annual
2021",414,1082,668,453,1203,749
"Annual
2022",398,1139,741,429,1254,825
"Annual
2023",409,1181,772,475,1353,878
,,,,,,
