lnee,lnprdty,urintensity,lnrw
976.4398,425.6711,353.3333,463.3935
976.1382,426.3126,330.2604,463.5613
975.5324,426.6856,347.5695,463.4065
974.6167,426.7930,336.1806,462.9449
973.3825,426.6358,468.7760,461.9959
971.9322,427.2214,455.3125,460.7151
970.2563,428.5368,564.3229,459.2792
968.3437,430.5536,661.4670,457.6058
966.1812,433.2302,849.5400,455.6767
964.2226,435.6197,885.4166,454.0729
962.4811,437.7409,836.7188,452.6751
960.9686,439.6093,879.6180,451.4894
959.6964,441.2380,990.0781,450.6851
958.6873,442.5257,1022.2743,450.3442
957.9494,443.4849,1034.1666,450.0878
957.4890,444.1249,911.6319,450.0791
957.3098,444.4517,986.2847,450.2355
957.1381,445.1711,883.9410,449.7541
956.9738,446.2747,786.7188,448.9110
956.8171,447.7498,803.7153,447.4103
956.6680,449.5801,801.9010,445.3870
956.5692,450.8050,667.1615,444.1199
956.5210,451.4461,687.7864,443.3154
956.5235,451.5148,652.0660,443.2396
956.5766,451.0120,611.5278,443.9115
956.4495,451.1201,542.5000,443.8725
956.1415,451.8372,547.7344,443.4643
955.6510,453.1502,506.2500,442.8700
954.9751,455.0359,608.5417,441.1888
954.4111,456.2947,542.5347,440.2482
953.9609,456.9498,499.7396,439.9178
953.6260,457.0127,592.0660,440.1777
953.4077,456.4848,667.1788,440.9199
952.1935,456.1061,672.0312,441.2891
949.9466,455.8786,795.7986,441.1422
946.5957,455.8032,1095.5295,441.2603
942.0274,455.8802,1829.1146,441.4558
938.4708,456.5198,2219.4444,441.4677
936.0439,457.7113,2412.9340,440.9447
934.8329,459.4353,2735.4688,439.9797
934.8828,461.6643,3000.9461,438.7876
935.0337,463.2928,2765.9202,437.7692
935.2853,464.3490,2551.3021,437.2855
935.6367,464.8507,2618.4375,436.8643
936.0870,464.8062,2911.5885,436.8453
936.5906,464.6344,2893.4375,436.8302
937.1468,464.3346,2797.2223,437.0255
937.7546,463.9058,2412.9253,437.8539
938.4131,463.3462,2524.7222,438.3668
938.8827,463.0643,2160.7552,438.6573
939.1662,463.0626,2184.4097,438.4198
939.2650,463.3409,2108.1424,437.8409
939.1798,463.8970,2034.2882,436.9806
939.2303,464.2675,1866.4236,436.6935
939.4163,464.4544,1949.6528,436.5190
939.7372,464.4588,1681.2326,436.6853
940.1915,464.2807,1531.1198,437.3707
940.6507,463.9738,1334.7917,437.9027
941.1146,463.5369,1232.6563,438.6252
941.5832,462.9682,1051.6319,439.7001
942.0563,462.2656,1236.3195,440.9750
942.3144,461.7808,976.5625,441.3003
942.3591,461.5169,884.7917,441.6132
942.1906,461.4758,867.7083,441.8736
941.8079,461.6576,1002.1181,441.9012
941.6449,461.6737,927.1875,441.4837
941.7028,461.5241,898.4809,441.8060
941.9810,461.2080,834.5139,442.2142
942.4778,460.7238,797.2135,442.9039
942.9022,460.4467,669.0104,443.6866
943.2552,460.3783,758.6719,444.0619
943.5374,460.5190,601.1371,444.1797
943.7496,460.8680,635.7031,444.1205
944.1356,460.9075,547.8472,444.0658
944.6935,460.6378,635.2865,444.3630
945.4203,460.0564,518.3941,444.7465
946.3124,459.1578,509.5052,445.3111
946.3972,458.5623,478.8281,445.7377
945.6768,458.2752,533.3333,446.3592
944.1335,458.2993,467.7951,446.9994
941.7285,458.6343,588.8021,447.5375
940.1336,459.0713,938.7240,448.7352
939.3886,459.6088,1089.9305,448.4019
939.5127,460.2452,846.8229,447.9793
940.5026,460.9787,1060.3906,446.6615
941.5650,461.2477,1247.2222,445.6700
942.6973,461.0559,890.7031,445.2443
943.8971,460.4005,669.2361,445.0824
945.1618,459.2726,644.5313,445.1610
946.0292,458.4182,542.9687,444.6037
946.5095,457.8445,521.5104,444.6810
946.6080,457.5564,407.7083,444.4575
