DATE,lnee,lnprdty,urintensity,lnwgshre
2000-01-01,976.4398,425.6711,353.3333,441.3164
2000-04-01,976.1382,426.3126,330.2604,442.1428
2000-07-01,975.5324,426.6856,347.5695,442.3955
2000-10-01,974.6167,426.7930,336.1806,442.0938
2001-01-01,973.3825,426.6358,468.7760,441.0593
2001-04-01,971.9322,427.2214,455.3125,439.8304
2001-07-01,970.2563,428.5368,564.3229,438.5508
2001-10-01,968.3437,430.5536,661.4670,437.0924
2002-01-01,966.1812,433.2302,849.5400,435.3804
2002-04-01,964.2226,435.6197,885.4166,433.5625
2002-07-01,962.4811,437.7409,836.7188,431.5575
2002-10-01,960.9686,439.6093,879.6180,429.4095
2003-01-01,959.6964,441.2380,990.0781,427.3250
2003-04-01,958.6873,442.5257,1022.2743,425.4987
2003-07-01,957.9494,443.4849,1034.1666,423.5796
2003-10-01,957.4890,444.1249,911.6319,421.7538
2004-01-01,957.3098,444.4517,986.2847,419.9557
2004-04-01,957.1381,445.1711,883.9410,418.4229
2004-07-01,956.9738,446.2747,786.7188,417.4002
2004-10-01,956.8171,447.7498,803.7153,416.5632
2005-01-01,956.6680,449.5801,801.9010,416.0217
2005-04-01,956.5692,450.8050,667.1615,415.3007
2005-07-01,956.5210,451.4461,687.7864,414.1354
2005-10-01,956.5235,451.5148,652.0660,412.8136
2006-01-01,956.5766,451.0120,611.5278,411.3698
2006-04-01,956.4495,451.1201,542.5000,409.7803
2006-07-01,956.1415,451.8372,547.7344,408.3787
2006-10-01,955.6510,453.1502,506.2500,407.3283
2007-01-01,954.9751,455.0359,608.5417,405.6979
2007-04-01,954.4111,456.2947,542.5347,404.6376
2007-07-01,953.9609,456.9498,499.7396,404.0339
2007-10-01,953.6260,457.0127,592.0660,403.8754
2008-01-01,953.4077,456.4848,667.1788,404.0548
2008-04-01,952.1935,456.1061,672.0312,403.9121
2008-07-01,949.9466,455.8786,795.7986,403.2985
2008-10-01,946.5957,455.8032,1095.5295,402.9821
2009-01-01,942.0274,455.8802,1829.1146,402.7520
2009-04-01,938.4708,456.5198,2219.4444,402.1995
2009-07-01,936.0439,457.7113,2412.9340,400.9550
2009-10-01,934.8329,459.4353,2735.4688,399.1501
2010-01-01,934.8828,461.6643,3000.9461,397.0910
2010-04-01,935.0337,463.2928,2765.9202,395.6526
2010-07-01,935.2853,464.3490,2551.3021,395.1641
2010-10-01,935.6367,464.8507,2618.4375,395.1362
2011-01-01,936.0870,464.8062,2911.5885,395.9040
2011-04-01,936.5906,464.6344,2893.4375,396.5571
2011-07-01,937.1468,464.3346,2797.2223,397.2999
2011-10-01,937.7546,463.9058,2412.9253,398.5526
2012-01-01,938.4131,463.3462,2524.7222,399.3638
2012-04-01,938.8827,463.0643,2160.7552,399.6733
2012-07-01,939.1662,463.0626,2184.4097,399.1824
2012-10-01,939.2650,463.3409,2108.1424,398.0852
2013-01-01,939.1798,463.8970,2034.2882,396.4495
2013-04-01,939.2303,464.2675,1866.4236,395.6665
2013-07-01,939.4163,464.4544,1949.6528,395.2687
2013-10-01,939.7372,464.4588,1681.2326,395.4787
2014-01-01,940.1915,464.2807,1531.1198,396.4711
2014-04-01,940.6507,463.9738,1334.7917,397.0757
2014-07-01,941.1146,463.5369,1232.6563,397.6355
2014-10-01,941.5832,462.9682,1051.6319,398.3110
2015-01-01,942.0563,462.2656,1236.3195,398.9487
2015-04-01,942.3144,461.7808,976.5625,398.8809
2015-07-01,942.3591,461.5169,884.7917,399.0486
2015-10-01,942.1906,461.4758,867.7083,399.4142
2016-01-01,941.8079,461.6576,1002.1181,399.7989
2016-04-01,941.6449,461.6737,927.1875,399.4430
2016-07-01,941.7028,461.5241,898.4809,399.5303
2016-10-01,941.9810,461.2080,834.5139,399.4074
2017-01-01,942.4778,460.7238,797.2135,399.2715
2017-04-01,942.9022,460.4467,669.0104,399.1965
2017-07-01,943.2552,460.3783,758.6719,398.6895
2017-10-01,943.5374,460.5190,601.1371,397.9075
2018-01-01,943.7496,460.8680,635.7031,396.9368
2018-04-01,944.1356,460.9075,547.8472,396.1294
2018-07-01,944.6935,460.6378,635.2865,395.8208
2018-10-01,945.4203,460.0564,518.3941,395.7327
2019-01-01,946.3124,459.1578,509.5052,395.9456
2019-04-01,946.3972,458.5623,478.8281,396.1538
2019-07-01,945.6768,458.2752,533.3333,396.7035
2019-10-01,944.1335,458.2993,467.7951,397.4217
2020-01-01,941.7285,458.6343,588.8021,398.1807
2020-04-01,940.1336,459.0713,938.7240,399.3092
2020-07-01,939.3886,459.6088,1089.9305,398.6153
2020-10-01,939.5127,460.2452,846.8229,397.5639
2021-01-01,940.5026,460.9787,1060.3906,395.3943
2021-04-01,941.5650,461.2477,1247.2222,393.8803
2021-07-01,942.6973,461.0559,890.7031,393.2243
2021-10-01,943.8971,460.4005,669.2361,393.0955
2022-01-01,945.1618,459.2726,644.5313,393.4488
2022-04-01,946.0292,458.4182,542.9687,392.9488
2022-07-01,946.5095,457.8445,521.5104,392.8830
2022-10-01,946.6080,457.5564,407.7083,392.3267
