Date,prd,cplt,unint,rw
2000 Q1,70.163,80.439,350.000,91.725
2000 Q2,70.688,80.452,317.030,89.939
2000 Q3,70.627,79.412,300.340,90.948
2000 Q4,70.975,77.988,358.380,90.644
2001 Q1,70.892,76.052,422.360,90.527
2001 Q2,71.597,74.237,403.310,90.575
2001 Q3,71.778,72.476,516.550,90.436
2001 Q4,73.559,71.338,652.700,92.337
2002 Q1,75.810,71.777,848.380,91.925
2002 Q2,77.549,72.784,914.320,92.337
2002 Q3,79.309,73.348,825.810,92.567
2002 Q4,80.113,73.248,936.490,92.954
2003 Q1,81.631,73.639,1100.270,92.808
2003 Q2,82.564,73.295,1212.970,94.791
2003 Q3,84.368,73.878,1098.110,95.908
2003 Q4,84.418,74.764,964.730,97.367
2004 Q1,84.324,75.318,1102.500,94.288
2004 Q2,85.219,75.955,1082.230,95.813
2004 Q3,86.065,76.650,855.880,97.613
2004 Q4,87.750,77.657,859.460,97.061
2005 Q1,89.313,78.589,837.970,96.841
2005 Q2,90.483,78.651,686.890,97.319
2005 Q3,90.450,78.057,652.230,96.726
2005 Q4,90.474,78.807,690.810,95.349
2006 Q1,90.573,79.133,565.540,96.589
2006 Q2,90.140,78.892,534.660,94.967
2006 Q3,90.759,78.812,518.040,94.224
2006 Q4,92.313,78.651,448.650,96.830
2007 Q1,93.612,78.987,593.650,97.541
2007 Q2,94.603,79.435,542.030,96.545
2007 Q3,95.219,78.967,505.810,95.965
2007 Q4,96.359,78.853,611.150,95.696
2008 Q1,96.523,78.217,675.410,95.054
2008 Q2,95.231,76.575,692.640,94.394
2008 Q3,94.119,73.847,804.930,94.492
2008 Q4,92.652,69.581,954.660,99.264
2009 Q1,92.057,65.066,1546.280,98.399
2009 Q2,94.201,63.682,2043.920,100.668
2009 Q3,97.902,65.473,2245.950,100.004
2009 Q4,99.299,66.914,2629.590,100.195
2010 Q1,100.316,68.454,3064.860,97.432
2010 Q2,101.667,70.629,2902.160,98.718
2010 Q3,102.503,71.773,2628.180,99.193
2010 Q4,103.039,72.390,2774.460,99.671
2011 Q1,103.552,73.223,3026.080,99.518
2011 Q2,102.197,73.297,3055.000,97.341
2011 Q3,103.346,74.009,2842.160,97.630
2011 Q4,102.243,74.538,2466.490,95.706
2012 Q1,102.203,75.320,2509.860,97.395
2012 Q2,101.580,75.222,2308.110,97.402
2012 Q3,101.140,74.821,2297.910,96.712
2012 Q4,101.428,74.828,2161.490,96.903
2013 Q1,102.536,75.206,2140.540,95.814
2013 Q2,102.975,75.141,1862.160,96.552
2013 Q3,102.907,75.077,1783.780,96.078
2013 Q4,103.234,75.436,1755.410,96.223
2014 Q1,102.975,75.281,1412.160,97.473
2014 Q2,103.041,76.300,1291.220,96.419
2014 Q3,102.812,76.788,1158.780,96.686
2014 Q4,101.619,77.154,1015.950,97.759
2015 Q1,100.873,76.713,1381.820,99.504
2015 Q2,101.072,76.760,964.050,99.554
2015 Q3,100.889,76.991,687.030,99.605
2015 Q4,100.333,76.454,654.050,99.529
2016 Q1,100.941,76.244,764.050,99.475
2016 Q2,100.498,75.878,801.890,98.461
2016 Q3,100.489,75.759,882.570,98.615
2016 Q4,100.900,75.830,905.880,99.208
2017 Q1,100.390,75.951,700.000,99.440
2017 Q2,100.811,76.784,657.430,100.273
2017 Q3,99.176,76.642,658.780,99.957
2017 Q4,99.632,77.725,634.460,100.316
2018 Q1,99.954,78.040,496.220,100.641
2018 Q2,100.708,78.708,615.410,99.537
2018 Q3,100.394,79.096,539.190,99.683
2018 Q4,99.816,78.791,493.780,100.006
2019 Q1,98.940,77.878,433.580,101.183
2019 Q2,97.946,77.290,394.050,100.384
2019 Q3,97.378,77.188,428.110,99.678
2019 Q4,97.253,76.876,421.280,101.158
2020 Q1,97.221,75.943,487.840,102.360
2020 Q2,95.492,65.991,732.970,109.984
2020 Q3,99.284,73.706,914.590,105.061
2020 Q4,99.056,75.413,708.180,106.266
2021 Q1,98.814,75.595,933.650,105.083
2021 Q2,100.040,76.966,1049.260,104.448
2021 Q3,99.575,77.673,732.570,102.428
2021 Q4,99.248,78.769,682.840,102.120
2022 Q1,98.555,79.281,664.460,100.210
2022 Q2,98.703,79.729,441.890,98.290
2022 Q3,97.873,79.624,469.190,98.765
2022 Q4,97.318,78.773,351.350,98.058
2023 Q1,97.252,78.615,346.220,97.789
2023 Q2,97.905,78.397,432.360,99.126
2023 Q3,97.655,78.048,370.340,99.752
2023 Q4,98.150,77.517,441.960,100.717
2024 Q1,97.977,77.083,406.350,101.299
2024 Q2,98.024,77.086,361.350,99.168
2024 Q3,98.146,76.671,484.730,99.438
