lnmfglbrprd,lnmfgcapltqtr,lnpcegds,lnmfgunit,lnmfgrsh
4.26,4.39,4.54,5.86,4.17
4.27,4.39,4.54,5.76,4.13
4.27,4.37,4.55,5.70,4.13
4.27,4.36,4.55,5.88,4.11
4.27,4.33,4.55,6.05,4.11
4.28,4.31,4.55,6.00,4.07
4.28,4.28,4.54,6.25,4.07
4.31,4.27,4.53,6.48,4.04
4.34,4.27,4.53,6.74,4.02
4.36,4.29,4.54,6.82,4.01
4.38,4.30,4.54,6.72,3.99
4.39,4.29,4.54,6.84,4.00
4.41,4.30,4.54,7.00,3.97
4.42,4.29,4.53,7.10,3.95
4.45,4.30,4.53,7.00,3.90
4.45,4.31,4.53,6.87,3.90
4.45,4.32,4.54,7.01,3.90
4.46,4.33,4.54,6.99,3.88
4.47,4.34,4.55,6.75,3.87
4.49,4.35,4.56,6.76,3.85
4.50,4.36,4.56,6.73,3.83
4.52,4.37,4.56,6.53,3.82
4.52,4.36,4.58,6.48,3.80
4.52,4.37,4.58,6.54,3.80
4.52,4.37,4.58,6.34,3.77
4.51,4.37,4.58,6.28,3.76
4.52,4.37,4.59,6.25,3.74
4.54,4.37,4.57,6.11,3.73
4.55,4.37,4.58,6.39,3.72
4.56,4.37,4.59,6.30,3.70
4.57,4.37,4.59,6.23,3.69
4.58,4.37,4.60,6.42,3.67
4.58,4.36,4.61,6.52,3.68
4.57,4.34,4.63,6.54,3.64
4.56,4.30,4.64,6.69,3.61
4.54,4.24,4.60,6.86,3.68
4.53,4.18,4.58,7.34,3.64
4.56,4.15,4.59,7.62,3.58
4.60,4.18,4.60,7.72,3.56
4.61,4.20,4.61,7.87,3.52
4.62,4.23,4.61,8.03,3.50
4.63,4.26,4.61,7.97,3.50
4.64,4.27,4.61,7.87,3.48
4.65,4.28,4.62,7.93,3.47
4.65,4.29,4.63,8.02,3.47
4.64,4.29,4.65,8.02,3.44
4.65,4.30,4.65,7.95,3.45
4.64,4.31,4.66,7.81,3.42
4.64,4.32,4.66,7.83,3.42
4.63,4.32,4.66,7.74,3.41
4.63,4.32,4.66,7.74,3.41
4.63,4.32,4.66,7.68,3.41
4.64,4.32,4.66,7.67,3.38
4.64,4.32,4.65,7.53,3.38
4.64,4.32,4.65,7.49,3.36
4.65,4.32,4.65,7.47,3.35
4.64,4.32,4.65,7.25,3.36
4.64,4.33,4.65,7.16,3.34
4.64,4.34,4.65,7.06,3.33
4.63,4.35,4.64,6.92,3.35
4.62,4.34,4.62,7.23,3.35
4.62,4.34,4.62,6.87,3.33
4.62,4.34,4.62,6.53,3.34
4.61,4.34,4.61,6.48,3.35
4.62,4.33,4.60,6.64,3.35
4.61,4.33,4.60,6.69,3.34
4.61,4.33,4.60,6.78,3.33
4.62,4.33,4.60,6.81,3.33
4.61,4.33,4.61,6.55,3.32
4.61,4.34,4.60,6.49,3.31
4.60,4.34,4.60,6.49,3.29
4.60,4.35,4.61,6.45,3.29
4.60,4.36,4.61,6.21,3.29
4.61,4.37,4.62,6.42,3.28
4.61,4.37,4.61,6.29,3.28
4.60,4.37,4.61,6.20,3.28
4.59,4.36,4.61,6.07,3.27
4.59,4.35,4.61,5.98,3.24
4.58,4.35,4.61,6.06,3.23
4.58,4.34,4.61,6.04,3.22
4.58,4.33,4.61,6.19,3.23
4.57,4.19,4.59,6.60,3.17
4.60,4.30,4.60,6.82,3.11
4.60,4.32,4.61,6.56,3.13
4.60,4.33,4.62,6.84,3.13
4.61,4.34,4.64,6.96,3.10
4.61,4.35,4.66,6.60,3.11
4.60,4.37,4.68,6.53,3.08
4.60,4.37,4.71,6.50,3.09
4.60,4.38,4.74,6.09,3.09
4.59,4.38,4.74,6.15,3.07
4.58,4.37,4.74,5.86,3.07
4.58,4.36,4.74,5.85,3.07
