,rwshr,ppi,unint,cplt,unioncov,ltint,prd,stlfi,indprd,wti
1,20.81,131.37,290.00,79.55,1080451.48,6.18,74.39,0.03,108.21,28.82
2,20.26,133.70,342.69,79.51,1073470.89,5.89,74.82,0.39,108.53,28.78
3,20.43,136.13,260.92,78.64,1059509.70,5.57,74.56,0.08,107.63,31.61
4,20.51,137.87,356.92,78.02,1038567.93,5.05,75.55,0.47,107.07,31.99
5,20.64,140.10,450.15,76.93,1010645.57,5.27,75.38,0.52,105.91,28.82
6,20.10,137.97,431.69,75.78,981618.40,4.98,75.87,0.49,104.71,27.91
7,20.21,134.37,542.77,75.06,951486.41,4.77,76.18,0.60,104.10,26.67
8,20.32,130.37,733.54,75.06,920249.62,5.08,78.32,0.73,104.42,20.40
9,20.35,129.67,970.46,75.48,887908.01,5.10,80.03,0.39,105.24,21.66
10,20.00,132.37,1066.15,76.08,862608.16,4.26,81.62,0.42,106.18,26.25
11,20.03,133.03,1056.00,76.37,844350.08,4.01,82.88,1.06,106.53,28.34
12,19.86,134.63,1115.00,76.21,833133.75,3.92,82.70,0.91,106.09,28.22
13,19.41,139.87,1338.08,77.01,828959.18,3.62,84.54,0.71,106.87,34.10
14,19.29,138.40,1478.77,76.80,822505.68,4.23,85.52,0.32,106.16,28.98
15,18.80,139.10,1395.69,76.84,813773.25,4.29,86.64,0.14,105.78,30.21
16,18.74,139.17,1173.08,77.26,802761.89,4.02,86.39,-0.24,105.97,31.19
17,17.51,142.77,1363.69,77.63,789471.61,4.60,87.07,-0.43,106.16,35.25
18,17.01,146.20,1259.77,78.67,778766.85,4.30,88.49,-0.54,107.35,38.35
19,17.25,148.87,949.92,79.41,770647.62,4.17,89.97,-0.56,108.23,43.87
20,17.06,152.43,957.69,80.49,765113.92,4.30,92.21,-0.74,109.69,48.30
21,17.31,153.97,1000.00,81.30,762165.75,4.16,93.98,-0.85,110.93,49.73
22,17.16,156.70,701.08,81.40,754520.19,4.21,94.98,-0.71,111.31,53.05
