lnee,lnprdty,urintensity,lnrw
876.4179,423.0572,588.6104,389.3438
876.1062,423.7088,554.1616,389.3575
875.4798,424.0128,557.3021,389.0796
874.5328,423.9724,573.9053,388.5205
873.2560,423.5871,593.2585,387.5118
871.9493,423.9570,582.7556,386.5943
870.6117,425.0736,610.0870,385.9153
869.2422,426.9124,618.9151,385.3463
867.8398,429.4341,635.6205,384.8079
866.5266,431.8420,652.5956,384.2379
865.3066,434.1426,630.3498,383.5435
864.1834,436.3419,644.7030,382.7562
863.1604,438.4455,663.4123,382.0690
862.2090,439.9474,667.3246,380.8926
861.3314,440.8739,647.3034,378.8926
860.5296,441.2407,645.5279,376.2791
859.8055,441.0541,668.3081,373.0175
859.1132,441.3904,662.8903,370.8662
858.4534,442.2444,653.4690,370.0370
857.8268,443.6031,653.2513,370.2016
857.2340,445.4459,634.9441,371.4922
856.7263,446.7741,644.2601,372.0873
856.3050,447.6074,609.8703,371.6992
855.9712,447.9582,632.5398,370.6042
855.7257,447.8314,618.7506,368.8374
855.4087,448.2737,631.9103,367.0497
855.0196,449.2777,618.4207,365.5760
854.5573,450.8265,603.7116,364.5803
854.0211,452.8953,619.1626,363.1315
853.5121,454.3463,590.6870,362.7098
853.0309,455.2056,597.3652,363.2016
852.5779,455.4882,638.0343,364.6120
852.1535,455.1990,626.5883,366.8677
851.1841,454.5831,625.3954,367.7215
849.6537,453.6344,635.6014,366.9873
847.5362,452.3433,667.0960,365.3958
844.7939,450.6966,708.6470,362.6991
842.6346,450.3445,741.1878,361.0566
841.0981,451.3008,744.2247,360.1534
840.2141,453.5285,764.5301,360.1028
840.0000,456.9449,751.7277,361.1225
839.8146,459.3637,771.6488,362.0590
839.6579,460.8536,745.9399,363.3150
839.5302,461.4552,751.2314,364.4537
839.4314,461.1844,768.4882,365.8460
839.3932,460.9423,773.0296,367.2059
839.4156,460.7291,764.4268,368.7276
839.4987,460.5450,756.4316,370.8187
839.6422,460.3903,753.6015,372.5134
839.7520,460.3939,742.4768,373.3970
839.8282,460.5558,747.3330,373.1548
839.8709,460.8753,734.8892,371.9816
839.8802,461.3510,736.0009,369.9621
839.9222,461.7599,744.9086,368.9501
839.9970,462.1030,749.7147,368.4643
840.1045,462.3809,733.6103,368.7198
840.2445,462.5941,722.4345,369.8890
840.5248,462.6308,703.1520,370.5491
840.9442,462.4911,681.1715,371.0461
841.5011,462.1744,649.9631,371.5430
842.1930,461.6789,703.1504,371.8882
842.6642,461.2660,690.8699,371.6733
842.9178,460.9367,635.7513,371.8357
842.9555,460.6918,615.8660,372.3366
842.7775,460.5320,626.2560,372.9977
842.8784,460.4136,646.3510,372.9317
843.2573,460.3367,661.7664,373.3211
843.9111,460.3014,671.0993,373.5112
844.8344,460.3078,604.2253,373.6979
845.4288,460.3941,629.9537,373.5738
845.7000,460.5601,605.8095,372.6540
845.6506,460.8053,635.0956,371.1073
845.2803,461.1292,591.6892,369.0358
845.2070,461.0358,621.8696,367.6347
845.4313,460.5241,613.5915,367.2201
845.9514,459.5874,627.9320,367.5012
846.7627,458.2139,599.7422,368.5528
846.8990,457.3160,592.7150,369.4419
846.3634,456.9069,596.0309,370.5155
845.1447,456.9925,551.0101,371.5954
843.2177,457.5717,605.7631,372.5427
842.0187,458.0833,623.5775,373.6736
841.5743,458.5284,660.8713,372.8122
841.8947,458.9078,642.4078,371.4333
842.9726,459.2222,687.0651,368.7784
844.0829,459.2524,669.3410,367.2509
845.2244,458.9984,654.4234,367.0465
846.3959,458.4582,617.2291,367.8264
847.5963,457.6271,631.2125,369.5374
848.4199,456.9992,568.5619,370.1139
848.8761,456.5784,591.3027,370.8521
848.9698,456.3673,559.0143,370.8316
