rwshr,ppi,unint,cplt,ltint,prd,stlfsi,indprd,wtioil,wtioil
3.035207655,4.877992396,5.669880923,4.376330442,6.176666667,4.309348409,0.025669231,4.684047908,28.82333333,3.361185244
3.008576542,4.895598484,5.836826248,4.375919273,5.893333333,4.315125324,0.393723077,4.686995919,28.77666667,3.359564874
3.017242072,4.913634798,5.564213847,4.36492371,5.566666667,4.311590758,0.076953846,4.678736583,31.61333333,3.453578973
3.021123031,4.926287035,5.877511667,4.356915216,5.05,4.324794689,0.465169231,4.673498081,31.99,3.465423354
3.027233593,4.942356453,6.109580861,4.34286602,5.27,4.322515455,0.517438462,4.662607302,28.81666667,3.360953923
3.000803517,4.92701211,6.067707738,4.327830887,4.98,4.329008169,0.490876923,4.65117234,27.90666667,3.328865609
3.006000511,4.900572381,6.296685657,4.31830156,4.77,4.333125214,0.595938462,4.645344931,26.66666667,3.283414346
3.011712995,4.870350993,6.597882129,4.318298452,5.076666667,4.360764693,0.726338462,4.648468472,20.4,3.015534901
3.012940925,4.864967055,6.877770186,4.323910998,5.1,4.382451544,0.3918,4.65627893,21.65666667,3.075313336
2.995750008,4.885575849,6.971809308,4.331760882,4.26,4.402049826,0.416692308,4.665104059,26.24666667,3.267538997
2.997166583,4.890599723,6.962243464,4.335572053,4.006666667,4.417333449,1.063676923,4.668434145,28.34,3.344274234
2.988728587,4.902555034,7.016609684,4.333427077,3.92,4.415171233,0.910292308,4.66430947,28.21666667,3.33991282
2.965924444,4.940689588,7.19899103,4.343905417,3.62,4.437201137,0.705307692,4.671585694,34.09666667,3.529199628
2.959515854,4.930148043,7.29896594,4.341249344,4.233333333,4.448691799,0.323084615,4.664980359,28.98,3.366605937
2.934049293,4.935193099,7.241144196,4.341721434,4.286666667,4.461750061,0.138730769,4.661368398,30.21333333,3.408283328
2.930456214,4.935672256,7.067388048,4.347188869,4.02,4.458871928,-0.238823077,4.663180256,31.19333333,3.440204397
2.862881928,4.961211596,7.21794954,4.351936345,4.6,4.466677937,-0.432430769,4.664939854,35.24666667,3.562370962
2.834092954,4.984975547,7.138684444,4.36523816,4.303333333,4.482923453,-0.543584615,4.676078067,38.35333333,3.646841443
2.847768336,5.003051051,6.856377771,4.374633959,4.173333333,4.499465167,-0.557623077,4.684236109,43.87333333,3.781306694
2.83695689,5.026727342,6.864524135,4.388139579,4.296666667,4.524079429,-0.740914286,4.697685859,48.3,3.877431561
2.851440768,5.036736129,6.907755279,4.398177996,4.16,4.543039431,-0.849658333,4.708903579,49.72666667,3.906541342
2.842437742,5.054333149,6.552622003,4.399362578,4.213333333,4.5536874,-0.709576923,4.712275678,53.05333333,3.971297697
2.821092923,5.087390553,6.655839241,4.385950178,4.49,4.551695567,-0.8433,4.701667842,63.19333333,4.14619881
2.815233593,5.125351905,6.603008428,4.380972746,4.57,4.539564429,-0.763638462,4.699670341,59.99666667,4.094289005
2.816929949,5.11659563,6.363562444,4.388739884,5.07,4.541175517,-1.008069231,4.710164235,63.27,4.147411283
2.75746243,5.135798437,6.228057252,4.383186379,4.896666667,4.538976963,-0.944446154,4.707148689,70.41,4.254335299
2.752005184,5.141468606,6.180016654,4.38537768,4.63,4.545494489,-0.909276923,4.71202139,70.41666667,4.254429978
2.776693361,5.120585262,6.103073004,4.386364712,4.68,4.564525259,-0.952015385,4.716292272,59.97666667,4.093955598
