ip.lg,fsi,ff,ppi.lg
4.131794478,0.361569766,8.24,4.739701079
4.136763681,0.224376566,8.28,4.737951297
4.13414043,0.401142747,8.26,4.737075257
4.137177334,0.123121294,8.18,4.741447804
4.140563169,-0.005335578,8.29,4.738826571
4.138814296,-0.054253312,8.15,4.740574823
4.142301046,0.448866194,8.13,4.757891273
4.142377297,0.870558315,8.2,4.774068722
4.136517644,1.125638499,8.11,4.794136286
4.1237205,1.0611065,7.81,4.788324729
4.116353903,1.19843364,7.31,4.776599302
4.113092712,1.393041512,6.91,4.779123493
4.105676776,1.049698679,6.25,4.763881877
4.099905737,0.535059825,6.12,4.755312844
4.10254088,0.512227834,5.91,4.753590191
4.111911031,0.13718601,5.78,4.757891273
4.119981444,0.435193249,5.9,4.757032535
4.122778136,0.257060875,5.82,4.754451889
4.122766796,0.111133251,5.66,4.755312844
4.130668455,0.081167158,5.45,4.754451889
4.130121854,-0.079774882,5.21,4.757032535
4.128538238,0.036506366,4.81,4.757032535
4.123663854,0.123213579,4.43,4.75272775
4.11841259,0.129073741,4.03,4.750135956
4.125447479,0.070306873,4.06,4.753590191
4.133937001,-0.068651216,3.98,4.754451889
4.141498468,-0.322119952,3.73,4.75617306
4.144784159,-0.465457036,3.82,4.763881877
4.145295881,-0.381455187,3.76,4.770684624
4.15446082,-0.376748488,3.25,4.769836808
4.148853265,-0.344037652,3.3,4.768139014
4.15214638,-0.430045514,3.22,4.770684624
4.158875271,-0.07513844,3.1,4.771531723
4.162660316,-0.265598488,3.09,4.768988271
4.164347812,-0.324951926,2.92,4.767289035
4.168180354,-0.227699167,3.02,4.770684624
4.172984748,-0.303503398,3.03,4.774068722
4.172110835,-0.228277451,3.07,4.776599302
4.17485024,-0.132345491,2.96,4.781641329
4.171058659,-0.42740236,3,4.784988613
4.173311307,-0.405580622,3.04,4.783316371
4.176004423,-0.560619711,3.06,4.780802755
4.174797955,-0.620992362,3.03,4.776599302
4.180089443,-0.595086344,3.09,4.776599302
4.187393096,-0.477804091,2.99,4.779963476
4.191952101,-0.704921622,3.02,4.779123493
4.197857372,-0.818880186,2.96,4.775756487
4.200731051,-0.927827214,3.05,4.779963476
4.201313783,-0.858254916,3.25,4.781641329
4.211463674,-0.591158684,3.34,4.784988613
4.217359812,-0.532402415,3.56,4.784988613
4.221950308,-0.80455063,4.01,4.786658062
4.228678758,-0.847245799,4.25,4.791649753
4.230008263,-0.823159786,4.26,4.793308128
4.236690121,-0.994839308,4.47,4.797442074
4.23983067,-0.966514115,4.73,4.795790546
4.247843601,-0.935510535,4.76,4.794963758
4.254656224,-0.788849127,5.29,4.799914263
4.26482265,-0.539305965,5.45,4.803201036
4.266523186,-0.550008757,5.53,4.811371017
4.265394499,-0.827329975,5.92,4.816241156
4.2670548,-0.917662508,5.98,4.819474789
4.265327074,-0.93981733,6.05,4.825108606
4.270225981,-0.910312117,6.01,4.827513417
4.273534833,-0.886905077,6,4.830710862
4.26934494,-0.86478478,5.85,4.830710862
4.282514263,-0.879703569,5.74,4.829113417
4.286539439,-0.99468482,5.8,4.829912459
4.284780332,-0.664472648,5.76,4.830710862
4.287412338,-0.781789194,5.8,4.831508628
4.290877162,-0.765323979,5.6,4.833898116
4.285137083,-0.777945787,5.56,4.838660029
4.299666243,-0.879090642,5.22,4.83786795
4.298441201,-0.788279198,5.31,4.839451482
4.308342419,-0.795741132,5.22,4.847331743
4.315788002,-1.008081319,5.24,4.852811209
4.323381381,-0.860792818,5.27,4.852030264
4.323535127,-0.829955425,5.4,4.852030264
4.328640362,-0.962209513,5.22,4.854371272
4.334879994,-1.048861861,5.3,4.853591544
4.335176088,-0.938174988,5.24,4.852030264
4.344320873,-0.826090137,5.31,4.853591544
4.350707521,-0.775634681,5.29,4.860587298
4.352291392,-0.79244701,5.25,4.865224091
4.364159209,-0.922827957,5.19,4.855928904
4.370485289,-0.796350909,5.39,4.846546506
4.371656803,-0.758343807,5.51,4.844187086
4.377181164,-0.660716152,5.5,4.847331743
4.381766601,-0.60497242,5.56,4.845760651
4.390272544,-0.702828218,5.52,4.843399375
4.40022749,-0.601182855,5.54,4.845760651
4.409345065,-0.500424304,5.54,4.848116365
4.418172915,-0.265900483,5.5,4.850466542
4.426017204,-0.063881529,5.52,4.851248709
4.430266648,-0.082082755,5.5,4.842611042
4.434640432,-0.069155031,5.56,4.831508628
4.436257921,-0.221032601,5.51,4.828313737
4.436609512,-0.230773256,5.49,4.825910853
4.440034896,-0.022065023,5.45,4.827513417
4.446604608,-0.349466596,5.49,4.829113417
4.440587953,-0.15954604,5.56,4.826712456
4.436734966,-0.032884221,5.54,4.827513417
4.457226867,0.605966104,5.55,4.821893169
4.456694539,1.37939388,5.51,4.81866736
4.463507538,1.60055667,5.07,4.820281566
4.462749111,1.052660002,4.83,4.817050545
4.467269261,0.949655841,4.68,4.810557016
4.471580506,1.114439672,4.63,4.811371017
4.477643586,1.003777634,4.76,4.806477043
4.479909638,0.801185076,4.81,4.808927024
4.482205624,0.761555177,4.74,4.817050545
4.488508272,0.406441846,4.74,4.825910853
4.487723594,0.347242996,4.76,4.829912459
4.493493096,0.383894615,4.99,4.833898116
4.497500339,0.605857457,5.07,4.843399375
4.493455078,0.800856217,5.22,4.852030264
4.505603962,0.804991991,5.2,4.849683763
4.510439638,0.669178522,5.42,4.854371272
