rwshre,unint,capult,prd
4.243,6.166,4.434,4.731
4.25,6.286,4.431,4.73
4.232,6.377,4.425,4.737
4.2,6.242,4.399,4.748
4.182,6.071,4.377,4.77
4.14,5.812,4.349,4.805
4.095,5.914,4.338,4.851
4.075,6.225,4.374,4.874
4.067,6.091,4.389,4.873
4.096,6.026,4.39,4.855
4.126,6.401,4.412,4.843
4.134,6.279,4.408,4.832
4.16,5.798,4.417,4.82
4.155,5.38,4.416,4.815
4.167,5.251,4.409,4.795
4.164,5.71,4.407,4.781
4.203,5.437,4.418,4.746
4.237,5.814,4.413,4.705
4.278,5.499,4.379,4.656
4.319,5.988,4.38,4.62
4.339,5.469,4.375,4.608
4.328,5.43,4.33,4.615
4.318,4.884,4.332,4.638
4.279,5.893,4.324,4.668
4.216,6.112,4.362,4.714
4.22,6.029,4.365,4.715
4.232,6.071,4.378,4.691
4.315,5.648,4.387,4.615
4.343,5.914,4.383,4.576
4.333,5.551,4.377,4.588
4.284,5.822,4.397,4.634
4.21,5.91,4.39,4.694
4.146,5.341,4.371,4.749
4.089,5.539,4.4,4.807
4.035,5.768,4.421,4.854
3.996,5.7,4.432,4.892
3.978,6.422,4.445,4.924
3.999,6.322,4.433,4.916
4.045,6.297,4.416,4.877
4.096,6.456,4.43,4.798
4.152,6.117,4.404,4.737
4.189,6.094,4.404,4.693
4.187,6.326,4.408,4.673
4.179,6.35,4.397,4.677
4.139,6.361,4.345,4.698
4.078,6.303,4.269,4.746
3.992,6.351,4.143,4.8
3.928,6.547,4.037,4.843
3.846,6.767,4.004,4.879
3.744,6.748,3.974,4.928
3.672,6.97,3.914,4.969
3.581,7.215,3.923,5.022
3.51,7.237,3.899,5.053
3.447,7.206,3.91,5.068
3.502,7.308,3.978,5.03
3.567,7.287,4.035,4.994
3.571,7.551,4.067,4.986
3.574,7.635,4.073,4.991
3.589,7.679,4.121,4.994
3.593,7.604,4.137,4.997
3.575,7.742,4.158,5.008
3.609,7.763,4.191,4.985
3.66,7.626,4.228,4.953
3.709,7.619,4.222,4.912
3.734,7.492,4.241,4.909
3.7,7.576,4.264,4.938
3.641,7.715,4.224,5.004
3.576,7.653,4.24,5.05
3.579,7.607,4.259,5.071
3.596,7.521,4.254,5.065
3.618,7.637,4.273,5.047
3.664,7.496,4.301,5.014
3.682,7.486,4.313,4.981
3.749,7.617,4.312,4.946
3.745,7.414,4.331,4.944
3.744,7.653,4.323,4.954
3.742,7.516,4.321,4.964
3.727,7.666,4.318,4.977
3.714,7.651,4.32,4.986
3.671,7.532,4.32,5.013
3.62,7.47,4.332,5.048
3.594,7.524,4.329,5.092
3.577,7.663,4.339,5.113
3.606,7.552,4.345,5.107
3.675,7.18,4.337,5.069
3.68,7.453,4.348,5.049
3.667,7.24,4.315,5.051
3.67,7.172,4.333,5.066
3.654,7.032,4.314,5.078
3.65,7.02,4.297,5.094
3.643,7.348,4.309,5.11
3.599,7.38,4.318,5.144
3.562,7.442,4.281,5.181
3.523,7.252,4.284,5.213
3.51,7.147,4.316,5.233
3.522,7.442,4.335,5.236
3.54,7.498,4.349,5.215
3.521,7.224,4.341,5.212
3.524,7.245,4.34,5.213
3.491,7.022,4.335,5.236
3.481,7.036,4.335,5.249
3.472,6.979,4.323,5.26
3.464,6.92,4.333,5.266
3.492,6.458,4.329,5.255
3.49,6.592,4.329,5.256
3.499,6.922,4.341,5.26
3.52,6.957,4.324,5.251
3.544,6.691,4.322,5.235
3.552,6.709,4.301,5.219
3.56,6.568,4.314,5.208
3.536,6.923,4.321,5.217
3.525,6.782,4.32,5.232
3.515,6.98,4.313,5.241
3.53,6.674,4.327,5.236
3.535,6.736,4.33,5.228
3.556,6.747,4.322,5.215
3.576,7.068,4.328,5.199
3.598,6.888,4.309,5.184
3.597,6.141,4.291,5.182
3.599,6.844,4.307,5.19
3.586,7.008,4.28,5.215
3.563,6.636,4.252,5.24
3.522,6.717,4.23,5.261
3.479,6.595,4.227,5.288
3.461,6.201,4.225,5.31
3.438,5.758,4.25,5.318
3.44,6.096,4.247,5.323
3.445,5.926,4.23,5.331
3.403,6.127,4.218,5.356
3.37,6.628,4.229,5.374
3.352,6.353,4.215,5.395
3.319,6.138,4.201,5.423
3.3,6.36,4.215,5.446
3.275,6.251,4.217,5.459
3.291,6.141,4.219,5.456
3.305,6.014,4.212,5.442
3.308,6.226,4.227,5.427
3.317,6.331,4.217,5.414
3.333,6.119,4.199,5.401
3.337,6.735,4.189,5.398
3.335,6.569,4.174,5.402
3.308,6.523,4.161,5.417
3.305,6.671,4.171,5.421
3.322,6.297,4.184,5.399
3.317,6.553,4.196,5.371
3.362,6.206,4.197,5.35
3.356,6.11,4.187,5.333
3.374,5.509,4.186,5.323
3.4,5.829,4.166,5.306
3.402,5.341,4.179,5.299
3.436,5.603,4.181,5.284
3.424,5.865,4.19,5.285
3.429,6.134,4.209,5.297
3.4,6.062,4.208,5.317
3.377,5.851,4.209,5.338
3.374,6.5,4.2,5.353
3.37,5.945,4.216,5.372
3.36,5.748,4.233,5.375
3.357,5.289,4.25,5.371
3.387,5.226,4.249,5.347
3.406,5.588,4.26,5.324
3.442,5.815,4.266,5.295
3.443,5.591,4.265,5.278
3.451,5.6,4.279,5.269
3.462,6.146,4.292,5.27
3.46,5.814,4.301,5.279
3.464,4.96,4.304,5.288
3.456,4.851,4.298,5.294
3.447,5.246,4.272,5.303
3.433,5.347,4.264,5.308
3.421,5.266,4.271,5.316
3.396,5.804,4.276,5.319
3.375,3.248,4.268,5.341
3.335,5.532,4.25,5.377
3.266,5.268,4.254,5.427
3.254,6.026,4.275,5.453
3.223,5.233,4.27,5.467
3.21,5.014,4.253,5.472
3.195,6.284,4.254,5.487
3.159,6.206,4.275,5.53
3.08,5.347,4.282,5.587
3.084,5.877,4.251,5.59
3.104,5.516,4.225,5.547
2.947,6.053,3.978,5.543
2.936,6.307,3.939,5.533
2.97,6.293,3.996,5.537
2.871,6.668,4.052,5.642
2.852,5.935,4.106,5.689
2.845,6.246,4.152,5.706
2.884,6.468,4.173,5.684
2.92,5.593,4.199,5.66
2.917,5.622,4.195,5.654
2.933,5.232,4.212,5.646
2.96,6.053,4.193,5.629
2.997,6.333,4.22,5.598
3.029,6.012,4.252,5.563
3.053,6.324,4.244,5.54
3.093,6.437,4.261,5.526
3.093,5.901,4.283,5.511
3.11,5.942,4.287,5.487
3.141,5.156,4.299,5.439
3.25,6.189,4.321,5.342
3.305,6.657,4.322,5.301
3.283,6.741,4.311,5.327
3.209,6.161,4.291,5.401
3.208,6.131,4.308,5.445
3.165,5.917,4.296,5.469
3.165,5.905,4.31,5.467
3.173,5.283,4.319,5.475
3.135,4.805,4.306,5.487
3.109,5.992,4.316,5.511
3.1,5.942,4.292,5.537
3.069,2.475,4.28,5.565
3.057,5.488,4.291,5.605
3.013,4.859,4.252,5.647
2.974,5.437,4.227,5.678
2.963,5.285,4.257,5.711
2.941,4.924,4.269,5.715
2.988,5.023,4.264,5.683
3.023,5.55,4.272,5.636
3.059,5.675,4.261,5.607
3.056,5.838,4.264,5.613
3.014,5.439,4.249,5.646
2.983,5.654,4.247,5.684
2.953,5.711,4.259,5.726
2.879,5.493,4.237,5.776
2.913,5.343,4.248,5.768
2.939,5.668,4.244,5.732
2.989,4.499,4.219,5.668
3.027,4.994,4.223,5.636
2.989,4.788,4.225,5.65
2.928,5.109,4.205,5.708
2.902,5.4,4.235,5.753
2.867,5.926,4.189,5.788
2.815,5.403,4.196,5.824
2.778,5.975,4.216,5.851
2.755,5.923,4.201,5.875
2.73,5.221,4.182,5.884
2.722,5.628,4.171,5.908
2.699,5.4,4.186,5.937
2.642,5.252,4.189,5.975
2.658,5.733,4.18,5.967
2.716,5.719,4.19,5.926
2.8,5.661,4.194,5.83
2.82,5.992,4.179,5.787
2.826,5.368,4.208,5.797
2.773,5.854,4.207,5.862
2.694,5.811,4.216,5.899
2.672,6.412,4.22,5.911
2.676,5.919,4.215,5.904
2.693,5.288,4.195,5.895
2.7,4.822,4.202,5.889
