rpctr.lg,rgdp.lg,lbrshr.lg,capult.lg,rpce.ilg,tnyrint,debtidx.lg
28.536,36.120,4.282,4.493,30.983,4.580,4.581
28.556,36.123,4.280,4.477,30.979,4.630,4.576
28.590,36.123,4.278,4.467,30.983,4.540,4.584
28.576,36.121,4.282,4.472,30.993,4.590,4.578
28.580,36.122,4.280,4.458,30.993,4.850,4.577
28.584,36.124,4.282,4.454,30.999,5.020,4.563
28.598,36.129,4.280,4.447,30.995,5.160,4.567
28.608,36.132,4.280,4.462,30.998,5.280,4.563
28.600,36.134,4.281,4.456,31.006,5.300,4.564
28.611,36.135,4.282,4.459,30.995,5.480,4.555
28.618,36.139,4.285,4.469,31.002,5.750,4.554
28.620,36.144,4.290,4.476,31.013,5.700,4.555
28.633,36.153,4.287,4.470,31.020,5.530,4.563
28.634,36.160,4.289,4.470,31.021,5.560,4.563
28.687,36.166,4.285,4.469,31.038,5.740,4.558
28.708,36.172,4.283,4.467,31.033,5.640,4.558
28.703,36.177,4.284,4.474,31.041,5.870,4.558
28.704,36.180,4.285,4.474,31.049,5.720,4.563
28.711,36.183,4.285,4.468,31.059,5.500,4.571
28.725,36.184,4.284,4.467,31.062,5.420,4.571
28.721,36.185,4.285,4.467,31.060,5.460,4.570
28.724,36.185,4.285,4.465,31.060,5.580,4.567
28.727,36.187,4.286,4.474,31.064,5.700,4.564
28.729,36.192,4.286,4.473,31.060,6.030,4.552
28.737,36.200,4.289,4.476,31.070,6.040,4.552
28.747,36.204,4.288,4.479,31.075,6.190,4.549
28.747,36.206,4.289,4.483,31.072,6.300,4.550
28.748,36.205,4.289,4.475,31.076,6.170,4.554
28.748,36.206,4.290,4.468,31.082,6.320,4.545
28.747,36.208,4.290,4.474,31.078,6.570,4.539
28.754,36.212,4.292,4.476,31.076,6.720,4.540
28.758,36.214,4.292,4.475,31.084,6.690,4.538
28.760,36.213,4.292,4.471,31.085,7.160,4.522
28.766,36.210,4.293,4.468,31.089,7.100,4.538
28.767,36.208,4.293,4.455,31.088,7.140,4.532
28.774,36.207,4.292,4.449,31.088,7.650,4.522
28.777,36.207,4.292,4.427,31.092,7.790,4.525
28.789,36.207,4.291,4.423,31.096,7.240,4.545
28.793,36.206,4.291,4.419,31.088,7.070,4.546
28.980,36.206,4.274,4.413,31.089,7.390,4.533
28.891,36.207,4.281,4.409,31.095,7.910,4.532
28.894,36.211,4.280,4.402,31.098,7.840,4.538
28.904,36.218,4.277,4.402,31.100,7.460,4.545
28.914,36.219,4.275,4.397,31.103,7.530,4.544
28.937,36.215,4.271,4.387,31.109,7.390,4.553
28.959,36.205,4.267,4.363,31.103,7.330,4.556
28.950,36.204,4.266,4.354,31.096,6.840,4.577
28.963,36.211,4.267,4.374,31.104,6.390,4.577
28.959,36.226,4.273,4.379,31.115,6.240,4.586
28.969,36.235,4.273,4.374,31.115,6.110,4.592
28.975,36.239,4.272,4.371,31.114,5.700,4.600
28.976,36.237,4.271,4.374,31.119,5.830,4.582
28.979,36.238,4.272,4.376,31.119,6.390,4.581
29.169,36.240,4.253,4.378,31.127,6.520,4.565
29.029,36.245,4.266,4.373,31.123,6.730,4.565
29.028,36.247,4.266,4.364,31.128,6.580,4.584
29.049,36.248,4.265,4.378,31.137,6.140,4.585
29.038,36.247,4.264,4.383,31.139,5.930,4.593
29.051,36.248,4.262,4.385,31.143,5.810,4.591
29.046,36.252,4.267,4.394,31.148,5.930,4.595
29.041,36.259,4.274,4.415,31.146,5.950,4.592
29.072,36.267,4.274,4.422,31.148,6.080,4.594
29.075,36.275,4.274,4.427,31.163,6.070,4.586
29.058,36.284,4.276,4.434,31.166,6.190,4.591
29.063,36.291,4.275,4.432,31.172,6.130,4.593
29.061,36.294,4.277,4.432,31.174,6.110,4.588
29.063,36.296,4.270,4.429,31.181,6.110,4.591
29.064,36.299,4.268,4.440,31.186,6.210,4.585
29.059,36.303,4.268,4.445,31.188,6.550,4.584
29.137,36.308,4.258,4.454,31.201,6.480,4.585
29.171,36.315,4.252,4.463,31.204,6.280,4.588
29.153,36.324,4.255,4.471,31.207,6.360,4.584
29.159,36.333,4.272,4.475,31.216,6.460,4.578
29.162,36.341,4.274,4.486,31.224,6.640,4.573
29.173,36.347,4.273,4.483,31.228,6.710,4.571
29.166,36.351,4.271,4.479,31.226,6.670,4.574
29.176,36.352,4.268,4.482,31.227,6.850,4.571
29.168,36.350,4.267,4.480,31.224,6.900,4.567
29.159,36.345,4.268,4.480,31.229,7.130,4.552
29.170,36.345,4.264,4.475,31.222,7.400,4.561
29.170,36.347,4.263,4.480,31.233,7.090,4.574
29.172,36.354,4.258,4.484,31.226,6.790,4.575
29.176,36.357,4.258,4.486,31.229,6.730,4.574
29.172,36.355,4.259,4.480,31.223,6.740,4.573
29.198,36.349,4.264,4.470,31.226,6.990,4.572
29.202,36.346,4.265,4.464,31.225,6.960,4.571
29.203,36.346,4.265,4.461,31.231,7.210,4.559
29.241,36.349,4.265,4.456,31.234,7.510,4.552
29.245,36.350,4.266,4.461,31.238,7.580,4.557
29.240,36.348,4.268,4.457,31.235,7.540,4.555
29.269,36.342,4.262,4.456,31.236,7.810,4.553
29.265,36.339,4.262,4.444,31.243,8.040,4.549
29.265,36.337,4.261,4.442,31.234,8.040,4.560
29.274,36.338,4.259,4.436,31.228,7.900,4.564
29.281,36.336,4.254,4.401,31.216,7.680,4.571
29.308,36.332,4.249,4.363,31.213,7.430,4.576
29.319,36.326,4.247,4.347,31.220,7.500,4.583
29.348,36.322,4.241,4.322,31.227,7.390,4.587
29.351,36.322,4.242,4.310,31.223,7.730,4.582
29.367,36.326,4.239,4.310,31.223,8.230,4.574
29.379,36.330,4.239,4.305,31.242,8.060,4.584
29.505,36.336,4.223,4.310,31.245,7.860,4.582
29.422,36.342,4.232,4.319,31.251,8.060,4.577
29.421,36.348,4.234,4.327,31.252,8.400,4.576
29.418,36.352,4.234,4.338,31.253,8.430,4.572
29.426,36.355,4.234,4.341,31.253,8.140,4.586
29.411,36.360,4.236,4.340,31.262,8.050,4.583
29.422,36.368,4.237,4.352,31.273,8.000,4.590
29.438,36.377,4.243,4.363,31.284,7.740,4.593
29.436,36.384,4.244,4.372,31.281,7.790,4.592
29.428,36.388,4.245,4.372,31.284,7.730,4.594
29.420,36.389,4.246,4.375,31.291,7.560,4.595
29.408,36.390,4.249,4.377,31.285,7.900,4.587
29.416,36.392,4.247,4.376,31.297,7.860,4.591
29.445,36.394,4.243,4.379,31.300,7.830,4.594
29.442,36.396,4.245,4.384,31.303,7.770,4.600
29.438,36.398,4.245,4.385,31.306,7.590,4.601
29.429,36.400,4.246,4.382,31.307,7.410,4.605
29.442,36.403,4.245,4.395,31.311,7.290,4.614
29.444,36.406,4.245,4.403,31.324,6.870,4.615
29.433,36.410,4.248,4.394,31.322,7.210,4.600
29.438,36.414,4.250,4.407,31.330,7.390,4.600
29.442,36.420,4.251,4.417,31.331,7.460,4.601
29.442,36.427,4.251,4.424,31.333,7.370,4.600
29.425,36.434,4.255,4.429,31.337,7.460,4.600
29.417,36.441,4.258,4.434,31.338,7.280,4.604
29.439,36.448,4.256,4.432,31.349,7.330,4.598
29.452,36.453,4.254,4.430,31.348,7.400,4.599
29.442,36.455,4.255,4.431,31.348,7.340,4.596
29.425,36.454,4.255,4.430,31.352,7.520,4.590
29.444,36.452,4.249,4.429,31.357,7.580,4.592
29.440,36.450,4.246,4.428,31.359,7.690,4.588
29.440,36.448,4.252,4.410,31.350,7.960,4.585
29.438,36.453,4.253,4.413,31.365,8.030,4.584
29.439,36.465,4.255,4.429,31.375,8.040,4.583
29.427,36.483,4.258,4.446,31.381,8.150,4.580
29.434,36.495,4.257,4.448,31.386,8.350,4.576
29.419,36.501,4.259,4.452,31.390,8.460,4.572
29.452,36.500,4.258,4.448,31.386,8.640,4.575
29.455,36.502,4.256,4.450,31.394,8.410,4.577
29.444,36.507,4.259,4.450,31.392,8.420,4.573
29.441,36.513,4.261,4.454,31.394,8.640,4.564
29.445,36.517,4.262,4.459,31.396,8.810,4.566
29.443,36.519,4.262,4.462,31.401,9.010,4.557
29.455,36.519,4.261,4.454,31.400,9.100,4.565
29.443,36.518,4.262,4.456,31.404,9.100,4.561
29.446,36.518,4.263,4.456,31.405,9.120,4.564
29.454,36.518,4.262,4.442,31.401,9.180,4.562
29.448,36.519,4.264,4.448,31.406,9.250,4.569
29.430,36.521,4.268,4.445,31.409,8.910,4.577
29.491,36.525,4.262,4.441,31.408,8.950,4.573
29.492,36.527,4.260,4.432,31.420,9.030,4.566
29.488,36.528,4.261,4.430,31.425,9.330,4.561
29.493,36.528,4.260,4.434,31.424,10.300,4.532
29.497,36.529,4.259,4.431,31.427,10.650,4.547
29.503,36.531,4.258,4.429,31.426,10.390,4.548
29.529,36.535,4.252,4.433,31.438,10.800,4.535
29.523,36.534,4.255,4.431,31.433,12.410,4.500
29.508,36.528,4.258,4.425,31.429,12.750,4.504
29.510,36.517,4.258,4.403,31.413,11.470,4.555
29.515,36.510,4.254,4.377,31.408,10.180,4.576
29.523,36.507,4.252,4.362,31.412,9.780,4.580
29.611,36.507,4.239,4.353,31.421,10.250,4.567
29.604,36.510,4.241,4.354,31.423,11.100,4.544
29.616,36.514,4.237,4.369,31.425,11.510,4.536
29.603,36.521,4.234,4.380,31.436,11.750,4.523
29.587,36.528,4.236,4.394,31.432,12.680,4.518
29.594,36.537,4.234,4.399,31.437,12.840,4.531
29.586,36.546,4.241,4.390,31.438,12.570,4.527
29.585,36.550,4.240,4.384,31.437,13.190,4.518
29.590,36.548,4.238,4.387,31.440,13.120,4.532
29.578,36.541,4.241,4.380,31.435,13.680,4.511
29.578,36.539,4.239,4.383,31.433,14.100,4.520
29.575,36.542,4.238,4.386,31.438,13.470,4.521
29.622,36.550,4.224,4.390,31.435,14.280,4.506
29.617,36.554,4.225,4.387,31.442,14.940,4.494
29.611,36.553,4.223,4.379,31.435,15.320,4.493
29.604,36.548,4.228,4.369,31.429,15.150,4.520
29.609,36.542,4.226,4.355,31.427,13.390,4.560
29.606,36.535,4.224,4.342,31.431,13.720,4.538
29.604,36.528,4.227,4.319,31.431,14.590,4.533
29.611,36.525,4.226,4.337,31.438,14.430,4.537
29.610,36.525,4.225,4.328,31.436,13.860,4.538
29.622,36.529,4.219,4.317,31.433,13.870,4.547
29.621,36.531,4.221,4.309,31.437,13.620,4.552
29.626,36.531,4.220,4.304,31.434,14.300,4.537
29.654,36.528,4.218,4.299,31.441,13.950,4.557
29.654,36.526,4.217,4.289,31.440,13.060,4.580
29.663,36.525,4.214,4.285,31.448,12.340,4.595
29.674,36.525,4.211,4.274,31.455,10.910,4.615
29.699,36.527,4.207,4.270,31.463,10.550,4.613
29.697,36.530,4.207,4.262,31.466,10.540,4.618
29.684,36.534,4.212,4.280,31.469,10.460,4.610
29.689,36.540,4.208,4.273,31.468,10.720,4.619
29.698,36.547,4.208,4.281,31.477,10.510,4.610
29.696,36.555,4.210,4.293,31.486,10.400,4.619
29.704,36.563,4.211,4.299,31.492,10.380,4.605
29.696,36.570,4.214,4.305,31.502,10.850,4.601
29.678,36.576,4.214,4.320,31.510,11.380,4.585
29.675,36.582,4.214,4.331,31.513,11.850,4.583
29.668,36.589,4.213,4.345,31.517,11.650,4.595
29.663,36.596,4.217,4.352,31.525,11.540,4.591
29.680,36.603,4.212,4.356,31.526,11.690,4.593
29.682,36.610,4.211,4.360,31.534,11.830,4.587
29.679,36.616,4.217,4.378,31.541,11.670,4.592
29.675,36.623,4.211,4.381,31.531,11.840,4.584
29.677,36.629,4.209,4.385,31.540,12.320,4.575
29.679,36.635,4.210,4.389,31.548,12.630,4.569
29.674,36.640,4.210,4.392,31.552,13.410,4.548
29.673,36.644,4.210,4.394,31.557,13.560,4.548
29.670,36.647,4.212,4.395,31.554,13.360,4.566
29.674,36.649,4.207,4.394,31.558,12.720,4.568
29.668,36.652,4.207,4.389,31.564,12.520,4.577
29.674,36.654,4.210,4.386,31.561,12.160,4.595
29.676,36.657,4.211,4.387,31.574,11.570,4.600
29.697,36.661,4.211,4.385,31.575,11.500,4.604
29.697,36.664,4.209,4.382,31.585,11.380,4.610
29.698,36.667,4.208,4.383,31.591,11.510,4.592
29.700,36.670,4.211,4.382,31.591,11.860,4.598
29.699,36.672,4.212,4.377,31.593,11.430,4.605
29.698,36.675,4.214,4.376,31.605,10.850,4.629
29.697,36.680,4.217,4.374,31.601,10.160,4.631
29.712,36.687,4.215,4.366,31.608,10.310,4.622
29.699,36.692,4.219,4.367,31.620,10.330,4.627
29.703,36.695,4.221,4.369,31.633,10.370,4.625
29.704,36.696,4.221,4.364,31.617,10.240,4.631
29.706,36.698,4.220,4.365,31.621,9.780,4.639
29.708,36.701,4.222,4.373,31.634,9.260,4.652
29.727,36.705,4.218,4.377,31.637,9.190,4.649
29.727,36.708,4.218,4.369,31.633,8.700,4.671
29.733,36.710,4.218,4.360,31.633,7.780,4.693
29.734,36.710,4.216,4.360,31.636,7.300,4.689
29.739,36.712,4.217,4.361,31.643,7.710,4.668
29.743,36.715,4.219,4.356,31.643,7.800,4.683
29.758,36.719,4.218,4.361,31.649,7.300,4.681
29.747,36.722,4.221,4.358,31.653,7.170,4.695
29.750,36.724,4.221,4.359,31.676,7.450,4.674
29.752,36.725,4.228,4.362,31.661,7.430,4.681
29.752,36.727,4.231,4.365,31.658,7.250,4.683
29.755,36.729,4.230,4.373,31.679,7.110,4.676
29.758,36.731,4.231,4.367,31.656,7.080,4.679
29.762,36.734,4.232,4.379,31.676,7.250,4.679
29.761,36.738,4.235,4.379,31.678,7.250,4.669
29.762,36.742,4.234,4.383,31.684,8.020,4.646
29.774,36.746,4.233,4.388,31.685,8.610,4.638
29.763,36.748,4.235,4.391,31.690,8.400,4.641
29.765,36.749,4.233,4.396,31.695,8.450,4.633
29.763,36.753,4.235,4.402,31.704,8.760,4.624
29.761,36.759,4.233,4.405,31.700,9.420,4.605
29.764,36.767,4.234,4.416,31.700,9.520,4.627
29.761,36.772,4.234,4.420,31.700,8.860,4.624
29.762,36.774,4.235,4.424,31.707,8.990,4.626
29.789,36.774,4.230,4.423,31.717,8.670,4.644
29.787,36.775,4.232,4.427,31.717,8.210,4.647
29.802,36.779,4.232,4.429,31.726,8.370,4.633
29.791,36.786,4.234,4.434,31.724,8.720,4.624
29.789,36.790,4.236,4.432,31.729,9.090,4.614
29.788,36.792,4.236,4.434,31.733,8.920,4.624
29.788,36.792,4.234,4.434,31.736,9.060,4.614
29.789,36.794,4.230,4.438,31.739,9.260,4.609
29.789,36.798,4.230,4.434,31.738,8.980,4.618
29.791,36.804,4.233,4.438,31.747,8.800,4.626
29.794,36.808,4.231,4.440,31.749,8.960,4.612
29.794,36.812,4.230,4.443,31.755,9.110,4.609
29.823,36.816,4.223,4.445,31.758,9.090,4.612
29.825,36.818,4.217,4.439,31.756,9.170,4.603
29.840,36.821,4.215,4.440,31.755,9.360,4.601
29.832,36.823,4.219,4.438,31.764,9.180,4.610
29.831,36.826,4.217,4.430,31.763,8.860,4.622
29.837,36.829,4.217,4.428,31.764,8.280,4.641
29.839,36.832,4.220,4.416,31.768,8.020,4.651
29.843,36.834,4.218,4.424,31.775,8.110,4.634
29.849,36.834,4.218,4.418,31.773,8.190,4.630
29.855,36.833,4.221,4.414,31.774,8.010,4.642
29.861,36.835,4.219,4.415,31.774,7.870,4.644
29.856,36.838,4.220,4.418,31.782,7.840,4.644
29.883,36.843,4.217,4.411,31.791,8.210,4.625
29.883,36.847,4.219,4.417,31.787,8.470,4.622
29.886,36.849,4.221,4.420,31.790,8.590,4.617
29.891,36.849,4.221,4.415,31.790,8.790,4.606
29.891,36.850,4.220,4.416,31.788,8.760,4.619
29.898,36.850,4.221,4.417,31.792,8.480,4.625
29.898,36.852,4.221,4.414,31.794,8.470,4.628
29.899,36.851,4.219,4.416,31.799,8.750,4.613
29.912,36.849,4.219,4.414,31.802,8.890,4.615
29.921,36.844,4.217,4.407,31.800,8.720,4.621
29.925,36.841,4.217,4.393,31.797,8.390,4.630
29.936,36.838,4.219,4.385,31.791,8.080,4.636
29.954,36.836,4.217,4.380,31.782,8.090,4.638
29.959,36.836,4.216,4.372,31.786,7.850,4.636
29.966,36.838,4.216,4.365,31.795,8.110,4.635
29.981,36.842,4.214,4.367,31.792,8.040,4.638
29.986,36.845,4.215,4.376,31.796,8.070,4.635
29.989,36.847,4.218,4.383,31.795,8.280,4.629
29.987,36.848,4.217,4.385,31.799,8.270,4.632
29.993,36.849,4.217,4.384,31.797,7.900,4.642
30.000,36.850,4.219,4.391,31.799,7.650,4.643
30.025,36.850,4.215,4.389,31.795,7.530,4.652
30.022,36.852,4.217,4.386,31.800,7.420,4.654
30.044,36.856,4.216,4.380,31.803,7.090,4.673
30.063,36.861,4.215,4.373,31.818,7.030,4.656
30.065,36.865,4.219,4.378,31.820,7.340,4.654
30.073,36.869,4.219,4.385,31.822,7.540,4.645
30.084,36.872,4.216,4.390,31.824,7.480,4.645
30.088,36.876,4.216,4.391,31.828,7.390,4.653
30.090,36.879,4.215,4.390,31.831,7.260,4.657
30.095,36.882,4.214,4.396,31.836,6.840,4.658
30.099,36.885,4.216,4.389,31.838,6.590,4.669
30.102,36.889,4.214,4.390,31.844,6.420,4.671
30.104,36.894,4.207,4.394,31.849,6.590,4.661
30.091,36.896,4.209,4.396,31.850,6.870,4.661
30.100,36.897,4.224,4.396,31.856,6.770,4.660
30.119,36.897,4.210,4.398,31.856,6.600,4.670
30.117,36.897,4.212,4.401,31.857,6.260,4.679
30.123,36.899,4.210,4.399,31.855,5.980,4.676
30.120,36.901,4.212,4.400,31.862,5.970,4.677
30.118,36.903,4.213,4.395,31.866,6.040,4.671
30.124,36.905,4.211,4.395,31.868,5.960,4.682
30.130,36.905,4.213,4.396,31.873,5.810,4.681
30.135,36.907,4.215,4.394,31.874,5.680,4.690
30.135,36.911,4.213,4.397,31.879,5.360,4.689
30.131,36.917,4.210,4.403,31.881,5.330,4.688
30.132,36.922,4.208,4.405,31.884,5.720,4.675
