,Food.and.beverage.and.tobacco.products
1,160.611
2,161.646
3,163.718
4,166.825
5,170.968
6,173.878
7,175.555
8,176.000
9,175.212
10,175.052
11,175.520
12,176.616
13,178.341
14,179.254
15,179.357
16,178.648
17,177.129
18,175.990
19,175.230
20,174.851
21,174.411
22,176.994
23,180.003
24,182.979
25,187.454
26,193.651
27,195.786
28,198.401
29,190.816
30,195.631
31,197.105
32,193.165
33,184.718
34,192.046
35,201.583
36,218.753
37,229.425
38,244.414
39,239.256
40,237.516
41,233.083
42,224.991
43,220.218
44,215.788
45,209.427
46,208.247
47,206.343
48,215.163
49,215.569
50,219.720
51,228.509
52,216.428
53,221.754
54,228.372
55,231.726
56,231.961
57,230.189
58,234.444
59,243.633
60,247.218
61,257.935
62,259.522
63,265.083
64,265.122
65,262.374
66,264.706
67,266.511
68,265.018
69,263.879
70,269.199
71,270.156
72,266.826
73,264.602
74,264.357
75,264.823
76,267.128
77,273.150
78,283.225
79,294.949
80,295.065
81,295.560
82,296.490
83,311.814
84,310.098
85,318.030
86,311.762
87,325.281
88,335.228
89,308.400
90,303.200
91,312.500
92,323.300
93,338.300
94,331.700
95,341.600
96,349.500
97,348.800
