Series Id,Year,Period,Value
ENUUS000405481111,2001,Q01,1016
ENUUS000405481111,2001,Q02,982
ENUUS000405481111,2001,Q03,992
ENUUS000405481111,2001,Q04,1078
ENUUS000405481111,2001,Q05,1016
ENUUS000405481111,2002,Q01,1033
ENUUS000405481111,2002,Q02,1053
ENUUS000405481111,2002,Q03,1044
ENUUS000405481111,2002,Q04,1071
ENUUS000405481111,2002,Q05,1051
ENUUS000405481111,2003,Q01,1036
ENUUS000405481111,2003,Q02,1038
ENUUS000405481111,2003,Q03,1016
ENUUS000405481111,2003,Q04,1034
ENUUS000405481111,2003,Q05,1031
ENUUS000405481111,2004,Q01,1019
ENUUS000405481111,2004,Q02,1047
ENUUS000405481111,2004,Q03,1065
ENUUS000405481111,2004,Q04,1080
ENUUS000405481111,2004,Q05,1053
ENUUS000405481111,2005,Q01,990
ENUUS000405481111,2005,Q02,996
ENUUS000405481111,2005,Q03,1033
ENUUS000405481111,2005,Q04,1013
ENUUS000405481111,2005,Q05,1008
ENUUS000405481111,2006,Q01,1032
ENUUS000405481111,2006,Q02,1033
ENUUS000405481111,2006,Q03,1077
ENUUS000405481111,2006,Q04,1035
ENUUS000405481111,2006,Q05,1044
ENUUS000405481111,2007,Q01,1101
ENUUS000405481111,2007,Q02,1364
ENUUS000405481111,2007,Q03,1094
ENUUS000405481111,2007,Q04,1030
ENUUS000405481111,2007,Q05,1147
ENUUS000405481111,2008,Q01,1147
ENUUS000405481111,2008,Q02,1010
ENUUS000405481111,2008,Q03,1045
ENUUS000405481111,2008,Q04,1160
ENUUS000405481111,2008,Q05,1090
ENUUS000405481111,2009,Q01,1053
ENUUS000405481111,2009,Q02,1059
ENUUS000405481111,2009,Q03,1073
ENUUS000405481111,2009,Q04,1113
ENUUS000405481111,2009,Q05,1074
ENUUS000405481111,2010,Q01,1125
ENUUS000405481111,2010,Q02,1098
ENUUS000405481111,2010,Q03,1128
ENUUS000405481111,2010,Q04,1207
ENUUS000405481111,2010,Q05,1140
ENUUS000405481111,2011,Q01,1290
ENUUS000405481111,2011,Q02,1174
ENUUS000405481111,2011,Q03,1174
ENUUS000405481111,2011,Q04,1167
ENUUS000405481111,2011,Q05,1201
ENUUS000405481111,2012,Q01,1329
ENUUS000405481111,2012,Q02,1162
ENUUS000405481111,2012,Q03,1206
ENUUS000405481111,2012,Q04,1223
ENUUS000405481111,2012,Q05,1230
ENUUS000405481111,2013,Q01,1422
ENUUS000405481111,2013,Q02,1269
ENUUS000405481111,2013,Q03,1240
ENUUS000405481111,2013,Q04,1531
ENUUS000405481111,2013,Q05,1366
ENUUS000405481111,2014,Q01,1569
ENUUS000405481111,2014,Q02,1410
ENUUS000405481111,2014,Q03,1293
ENUUS000405481111,2014,Q04,1370
ENUUS000405481111,2014,Q05,1410
ENUUS000405481111,2015,Q01,1665
ENUUS000405481111,2015,Q02,1408
ENUUS000405481111,2015,Q03,1366
ENUUS000405481111,2015,Q04,1551
ENUUS000405481111,2015,Q05,1497
ENUUS000405481111,2016,Q01,1897
ENUUS000405481111,2016,Q02,1490
ENUUS000405481111,2016,Q03,1530
ENUUS000405481111,2016,Q04,1619
ENUUS000405481111,2016,Q05,1634
ENUUS000405481111,2017,Q01,2049
ENUUS000405481111,2017,Q02,1607
ENUUS000405481111,2017,Q03,1582
ENUUS000405481111,2017,Q04,1516
ENUUS000405481111,2017,Q05,1686
ENUUS000405481111,2018,Q01,2065
ENUUS000405481111,2018,Q02,1573
ENUUS000405481111,2018,Q03,1612
ENUUS000405481111,2018,Q04,1595
ENUUS000405481111,2018,Q05,1709
ENUUS000405481111,2019,Q01,2019
ENUUS000405481111,2019,Q02,1620
ENUUS000405481111,2019,Q03,1662
ENUUS000405481111,2019,Q04,1608
ENUUS000405481111,2019,Q05,1726
ENUUS000405481111,2020,Q01,2084
ENUUS000405481111,2020,Q02,1517
ENUUS000405481111,2020,Q03,1659
ENUUS000405481111,2020,Q04,1666
ENUUS000405481111,2020,Q05,1745
ENUUS000405481111,2021,Q01,1698
ENUUS000405481111,2021,Q02,1635
ENUUS000405481111,2021,Q03,1806
ENUUS000405481111,2021,Q04,1864
ENUUS000405481111,2021,Q05,1753
ENUUS000405481111,2022,Q01,1965
ENUUS000405481111,2022,Q02,1721
ENUUS000405481111,2022,Q03,1832
ENUUS000405481111,2022,Q04,1807
ENUUS000405481111,2022,Q05,1829
ENUUS000405481111,2023,Q01,2149
ENUUS000405481111,2023,Q02,1942
ENUUS000405481111,2023,Q03,1844
ENUUS000405481111,2023,Q04,2254
ENUUS000405481111,2023,Q05,2047
ENUUS000405481111,2024,Q01,2587
ENUUS000405481111,2024,Q02,2154
ENUUS000405481111,2024,Q03,2099
