prd,unioncov,unint,rw
430.1738063,1389.288955,566.9880923,1990.416561
430.7478181,1388.640778,583.6826248,1989.222268
430.386237,1387.331682,556.4213847,1989.642716
431.6941297,1385.335333,587.7511667,1989.740124
431.4483605,1382.609986,610.9580861,1989.181909
432.0829193,1379.695791,606.7707738,1987.679217
432.4834397,1376.578069,629.6685657,1986.240251
435.2404705,1373.240024,659.7882129,1985.034431
437.3981862,1369.662343,687.7770186,1984.675047
439.3572227,1366.771583,697.1809308,1985.445743
440.8875458,1364.632247,696.2243464,1985.353584
440.6731442,1363.294947,701.6609684,1985.470209
442.8790939,1362.792619,719.899103,1985.15889
444.0307335,1362.011067,729.896594,1985.569482
445.3393353,1360.943704,724.1144196,1985.577374
445.057274,1359.581343,706.7388048,1988.507331
445.8408805,1357.911915,721.794954,1986.775311
447.469697,1356.546698,713.8684444,1988.585671
449.1284546,1355.498651,685.6377771,1989.170151
451.5956385,1354.778002,686.4524135,1987.496871
453.4994472,1354.391934,690.7755279,1984.763951
454.5696152,1353.383731,655.2622003,1983.721945
454.3773391,1351.734333,665.5839241,1982.282815
453.1685097,1349.411567,660.3008428,1980.876521
453.3330409,1346.367968,636.3562444,1980.955386
453.117913,1344.117244,622.8057252,1979.800648
453.7758207,1342.715715,618.0016654,1980.019457
455.6861906,1342.199965,610.3073004,1980.356477
456.6450147,1342.583757,649.4691373,1982.1509
456.4462768,1342.484253,644.5719819,1982.638924
456.4535674,1341.900005,631.6893892,1981.464865
456.4587746,1340.82244,640.9154625,1981.900951
456.7333315,1339.235438,657.6901231,1981.140092
455.5643751,1337.606691,668.9885298,1979.525052
454.1878887,1335.934553,682.2698354,1977.78777
454.7000673,1334.217271,698.7277851,1975.601445
455.3308309,1332.452976,749.8698069,1970.168083
457.1158283,1331.605009,778.0720886,1967.704066
458.5334758,1331.696931,791.2650119,1966.357146
459.4018233,1332.726165,803.915739,1967.638277
459.7722521,1334.664234,829.7199674,1967.167785
460.7696991,1335.637565,814.9847228,1967.266003
461.5803452,1335.673957,808.5653066,1967.269572
462.1506027,1334.77444,812.6130864,1965.199808
462.1545378,1332.913364,819.2207926,1962.449932
461.9221009,1330.915828,821.0271213,1959.674371
462.6089836,1328.774222,815.3459105,1957.308046
462.2921692,1326.479994,797.4057852,1954.82493
462.0826976,1324.023513,795.935632,1955.324735
461.7405034,1323.056092,793.1202113,1955.751368
460.7667066,1323.621337,785.4710997,1956.265978
461.4466838,1325.693651,781.5485474,1957.602667
462.529629,1329.181986,783.6642343,1958.71155
463.5437475,1331.186034,762.7919199,1960.806447
463.4301712,1331.792221,754.5553584,1961.086106
463.3679894,1331.025889,755.7671315,1963.075052
463.146152,1328.854938,726.4408223,1964.945531
463.6678543,1326.707803,717.4486916,1964.348636
463.8837043,1324.58709,714.3127751,1964.046451
462.3481506,1322.495518,706.9874128,1964.740975
461.9802608,1320.435918,738.3896286,1964.706408
462.4776716,1318.574715,684.4815479,1964.56596
462.1368286,1316.923952,664.1377973,1965.54573
462.3560051,1315.49476,671.5383386,1966.635667
463.6378113,1314.297133,685.7598181,1967.153961
462.5835186,1314.174768,669.8169406,1968.250891
461.251316,1315.1316,684.8737491,1969.004936
462.2066634,1317.137164,688.0774551,1969.968443
461.3693757,1320.129748,679.1389988,1970.25899
461.4050638,1321.807475,656.2557082,1969.8637
459.2753416,1322.234825,672.2629795,1969.858669
460.0619849,1321.427816,650.9454446,1969.071722
459.8920699,1319.356062,635.6506887,1969.132172
461.0844059,1317.768875,652.5029658,1966.88856
461.3207798,1316.690235,629.8379231,1968.089994
460.3338509,1316.136948,615.1093053,1969.311025
460.703844,1316.117803,604.0254711,1971.33591
459.9564503,1315.353936,602.1023349,1973.148416
459.5584389,1313.828066,610.4793232,1974.468721
459.1426168,1311.504722,625.2058014,1976.61671
459.8417437,1308.327401,623.4410726,1979.292022
459.9323125,1305.940286,678.5158174,1975.743491
459.6139532,1304.403192,696.2461244,1978.339484
458.9091616,1303.756423,666.9891414,1978.866791
458.8918845,1304.017372,682.1358259,1975.404052
461.736552,1303.464469,710.4209826,1972.621516
461.1261596,1302.084065,668.7881377,1971.964852
459.9494107,1299.841289,668.2885238,1970.392494
459.5735822,1296.677022,669.3608634,1967.831942
459.4998631,1295.481761,625.6785973,1965.616876
458.817661,1296.326833,625.2346945,1965.82952
458.3803536,1299.161607,611.368218,1965.383455
459.0858257,1303.823199,573.5345739,1966.287755
459.3421439,1306.931557,605.1194651,1966.710056
460.2195767,1308.623048,595.5837369,1967.876163
461.3178037,1308.967773,611.0779742,1968.244456
460.6379455,1307.979676,594.9834935,1969.271277
461.0525819,1307.232142,597.6350909,1971.219572
