usst,ppistliron.ts,iprinstl.ts,steelee.ts
4.481,4.636,4.772,6.059
4.538,4.642,4.755,6.061
4.516,4.648,4.791,6.063
4.402,4.660,4.729,6.058
4.246,4.663,4.727,6.056
4.367,4.662,4.722,6.055
4.351,4.661,4.670,6.060
4.185,4.650,4.671,6.055
4.252,4.647,4.708,6.045
4.212,4.636,4.642,6.044
4.269,4.623,4.629,6.041
4.272,4.614,4.627,6.035
4.306,4.598,4.605,6.027
4.265,4.590,4.596,6.017
4.459,4.589,4.569,6.002
4.496,4.581,4.650,5.994
4.463,4.578,4.662,5.983
4.462,4.574,4.660,5.972
4.460,4.576,4.678,5.956
4.193,4.572,4.647,5.944
4.227,4.565,4.625,5.937
4.371,4.560,4.592,5.925
4.424,4.556,4.569,5.906
4.513,4.551,4.432,5.892
4.466,4.544,4.576,5.878
4.548,4.544,4.574,5.872
4.481,4.558,4.596,5.864
4.586,4.566,4.591,5.859
4.567,4.582,4.643,5.857
4.375,4.600,4.638,5.855
4.275,4.616,4.616,5.855
4.078,4.632,4.669,5.850
4.135,4.652,4.640,5.848
4.242,4.658,4.636,5.844
4.102,4.655,4.672,5.838
4.059,4.651,4.572,5.828
3.992,4.646,4.675,5.829
3.851,4.644,4.609,5.824
4.003,4.642,4.517,5.820
4.147,4.642,4.628,5.814
4.163,4.638,4.553,5.804
4.172,4.634,4.657,5.791
4.237,4.628,4.600,5.785
4.144,4.628,4.558,5.784
4.335,4.633,4.559,5.777
4.372,4.648,4.655,5.775
4.567,4.657,4.685,5.774
4.525,4.670,4.778,5.773
4.628,4.700,4.687,5.770
4.638,4.754,4.712,5.767
4.502,4.802,4.734,5.766
4.586,4.866,4.713,5.769
4.744,4.915,4.737,5.770
4.838,4.904,4.728,5.774
4.794,4.932,4.799,5.778
4.895,4.973,4.763,5.777
4.858,4.998,4.780,5.779
5.086,5.015,4.793,5.775
5.075,5.030,4.784,5.775
5.119,5.036,4.754,5.779
5.239,5.059,4.740,5.777
5.111,5.062,4.729,5.779
4.956,5.032,4.703,5.778
4.957,5.019,4.671,5.775
4.865,4.991,4.626,5.775
5.067,4.952,4.595,5.770
5.060,4.937,4.570,5.764
5.136,4.896,4.648,5.764
5.093,4.913,4.664,5.769
5.221,4.946,4.663,5.770
5.232,4.984,4.721,5.770
5.470,4.984,4.729,5.765
