usst,ppironstl,iprinstl.ts,steelee.ts
88.340,103.100,118.211,428.000
93.530,103.700,116.201,429.000
91.510,104.400,120.456,430.100
81.650,105.600,113.209,427.500
69.860,106.000,112.940,425.800
78.790,105.800,112.388,427.600
77.570,105.700,106.688,423.800
65.700,104.600,106.858,425.700
70.220,104.300,110.822,421.300
67.520,103.100,103.799,421.100
71.430,101.800,102.448,420.600
71.700,100.900,102.166,419.100
74.160,99.300,100.015,414.500
71.170,98.500,99.121,411.600
86.410,98.400,96.491,404.500
89.700,97.600,104.550,401.200
86.720,97.300,105.865,395.900
86.680,96.900,105.648,393.200
86.470,97.100,107.540,382.600
66.200,96.700,104.285,382.400
68.500,96.100,102.024,379.400
79.140,95.600,98.723,373.900
83.400,95.200,96.420,367.200
91.160,94.700,84.102,363.400
86.980,94.100,97.116,357.000
94.430,94.100,96.886,355.200
88.360,95.400,99.120,352.200
98.090,96.200,98.630,350.600
96.250,97.700,103.872,349.800
79.460,99.500,103.337,350.300
71.850,101.100,101.065,346.000
59.040,102.700,106.550,348.400
62.460,104.800,103.534,347.900
69.580,105.400,103.083,344.400
60.440,105.100,106.859,342.600
57.920,104.700,96.755,340.800
54.180,104.200,107.278,339.700
47.030,104.000,100.362,337.300
54.770,103.700,91.591,336.700
63.250,103.800,102.278,335.200
64.250,103.300,94.879,332.000
64.830,102.900,105.360,328.600
69.180,102.300,99.517,323.200
63.070,102.300,95.406,326.700
76.320,102.800,95.497,324.200
79.230,104.400,105.151,321.500
96.290,105.300,108.300,321.600
92.330,106.700,118.850,322.500
102.360,109.900,108.515,320.400
103.300,116.000,111.287,319.200
90.190,121.700,113.762,319.300
98.150,129.800,111.399,319.500
114.950,136.300,114.139,320.100
126.180,134.800,113.085,323.200
120.840,138.600,121.397,322.600
133.600,144.400,117.068,323.000
128.720,148.100,119.106,323.000
161.820,150.600,120.672,321.700
160.040,153.000,119.522,321.700
167.140,153.800,116.047,325.200
188.500,157.400,114.415,322.900
165.850,157.900,113.221,323.000
141.970,153.200,110.320,323.300
142.210,151.300,106.803,321.400
129.650,147.100,102.138,321.200
158.700,141.500,99.019,321.900
157.530,139.300,96.510,316.500
169.980,133.700,104.373,318.600
162.930,136.100,106.090,320.300
185.040,140.600,105.914,320.200
187.250,146.100,112.240,320.600
237.540,146.100,113.146,320.900
230.510,149.800,112.316,320.400
270.150,149.700,114.041,318.600
286.290,149.800,115.339,318.000
269.050,151.300,115.061,318.700
285.580,153.400,118.416,319.500
265.300,159.900,117.246,322.000
247.240,167.500,112.011,318.100
249.030,169.700,112.744,319.100
291.280,174.500,112.655,317.500
313.640,176.500,105.955,317.100
302.260,167.900,104.409,316.300
347.320,167.500,100.969,315.900
