usst,ppironstl,iprinstl.ts,realtotinc
4.481,4.636,4.772,22.071
4.538,4.642,4.755,22.054
4.516,4.648,4.791,22.046
4.402,4.660,4.729,22.050
4.246,4.663,4.727,22.026
4.367,4.662,4.722,22.050
4.351,4.661,4.670,22.043
4.185,4.650,4.671,22.016
4.252,4.647,4.708,22.015
4.212,4.636,4.642,22.026
4.269,4.623,4.629,22.026
4.272,4.614,4.627,21.977
4.306,4.598,4.605,21.936
4.265,4.590,4.596,21.947
4.459,4.589,4.569,21.948
4.496,4.581,4.650,21.937
4.463,4.578,4.662,21.936
4.462,4.574,4.660,21.931
4.460,4.576,4.678,21.970
4.193,4.572,4.647,21.945
4.227,4.565,4.625,21.918
4.371,4.560,4.592,21.906
4.424,4.556,4.569,21.913
4.513,4.551,4.432,21.920
4.466,4.544,4.576,21.913
4.548,4.544,4.574,21.925
4.481,4.558,4.596,21.930
4.586,4.566,4.591,21.935
4.567,4.582,4.643,21.933
4.375,4.600,4.638,21.932
4.275,4.616,4.616,21.919
4.078,4.632,4.669,21.922
4.135,4.652,4.640,21.919
4.242,4.658,4.636,21.930
4.102,4.655,4.672,21.929
4.059,4.651,4.572,21.924
3.992,4.646,4.675,21.924
3.851,4.644,4.609,21.903
4.003,4.642,4.517,21.880
4.147,4.642,4.628,21.860
4.163,4.638,4.553,21.885
4.172,4.634,4.657,21.890
4.237,4.628,4.600,21.887
4.144,4.628,4.558,21.874
4.335,4.633,4.559,21.909
4.372,4.648,4.655,21.908
4.567,4.657,4.685,21.937
4.525,4.670,4.778,21.938
4.628,4.700,4.687,21.937
4.638,4.754,4.712,21.940
4.502,4.802,4.734,21.943
4.586,4.866,4.713,21.928
4.744,4.915,4.737,21.938
4.838,4.904,4.728,21.925
4.794,4.932,4.799,21.913
4.895,4.973,4.763,21.938
4.858,4.998,4.780,21.938
5.086,5.015,4.793,21.931
5.075,5.030,4.784,21.929
5.119,5.036,4.754,21.931
5.239,5.059,4.740,21.924
5.111,5.062,4.729,21.929
4.956,5.032,4.703,21.906
4.957,5.019,4.671,21.886
4.865,4.991,4.626,21.892
5.067,4.952,4.595,21.884
5.060,4.937,4.570,21.870
5.136,4.896,4.648,21.890
5.093,4.913,4.664,21.858
5.221,4.946,4.663,21.896
5.232,4.984,4.721,21.901
5.470,4.984,4.729,21.905
5.440,5.009,4.721,21.903
5.599,5.009,4.737,21.899
5.657,5.009,4.748,21.901
5.595,5.019,4.745,21.899
5.655,5.033,4.774,21.898
5.581,5.075,4.764,21.897
5.510,5.121,4.719,21.899
5.518,5.134,4.725,21.880
5.674,5.162,4.724,21.876
5.748,5.173,4.663,21.886
5.711,5.123,4.648,21.884
5.850,5.121,4.615,21.891
5.851,5.097,4.684,21.889
5.931,5.115,4.681,21.880
5.975,5.138,4.695,21.884
6.049,5.181,4.712,21.887
5.974,5.198,4.709,21.884
5.910,5.200,4.702,21.892
5.911,5.194,4.717,21.879
6.015,5.148,4.720,21.904
6.050,5.126,4.700,21.896
5.987,5.107,4.780,21.877
6.032,5.126,4.828,21.877
5.938,5.135,4.848,21.854
6.032,5.145,4.866,21.860
6.081,5.154,4.880,21.867
6.192,5.205,4.863,21.833
6.284,5.272,4.906,21.819
6.304,5.364,4.880,21.796
6.125,5.427,4.883,21.790
5.999,5.448,4.915,21.777
5.533,5.471,4.887,21.733
5.193,5.443,4.818,21.693
5.036,5.339,4.690,21.690
5.219,5.254,4.471,21.722
5.106,5.118,4.284,21.718
4.884,5.070,4.244,21.638
4.994,5.026,4.251,21.641
5.212,5.000,4.148,21.626
5.327,4.929,4.132,21.612
5.334,4.905,4.157,21.554
5.343,4.917,4.239,21.536
5.373,4.942,4.379,21.610
5.437,4.982,4.431,21.595
5.292,5.023,4.493,21.612
5.438,5.063,4.539,21.604
5.550,5.036,4.537,21.598
5.421,5.038,4.565,21.605
5.541,5.068,4.574,21.607
5.679,5.104,4.615,21.604
5.607,5.138,4.670,21.611
5.538,5.187,4.645,21.613
5.372,5.228,4.671,21.631
5.466,5.243,4.648,21.624
5.424,5.194,4.558,21.634
5.482,5.156,4.573,21.622
5.496,5.156,4.612,21.636
5.539,5.165,4.582,21.629
5.677,5.163,4.633,21.632
5.726,5.170,4.670,21.617
5.774,5.201,4.684,21.607
5.767,5.263,4.686,21.634
5.755,5.287,4.699,21.626
5.694,5.306,4.675,21.603
5.685,5.306,4.664,21.591
5.620,5.294,4.698,21.589
5.482,5.297,4.695,21.597
5.205,5.298,4.723,21.590
5.430,5.297,4.721,21.593
5.457,5.287,4.733,21.615
5.437,5.281,4.738,21.620
5.538,5.279,4.778,21.628
5.476,5.280,4.756,21.630
5.502,5.289,4.776,21.626
5.446,5.280,4.742,21.622
5.246,5.280,4.755,21.627
5.298,5.274,4.736,21.626
5.279,5.246,4.686,21.634
5.232,5.226,4.678,21.642
5.261,5.197,4.700,21.611
5.265,5.213,4.618,21.602
5.256,5.190,4.630,21.604
5.360,5.178,4.688,21.624
5.397,5.188,4.708,21.631
5.336,5.188,4.725,21.626
5.336,5.180,4.721,21.614
5.279,5.176,4.707,21.613
5.288,5.180,4.721,21.618
5.252,5.164,4.724,21.614
5.329,5.165,4.710,21.617
5.311,5.168,4.745,21.609
5.393,5.166,4.731,21.632
5.472,5.161,4.734,21.639
5.478,5.174,4.760,21.642
5.527,5.187,4.741,21.649
5.411,5.193,4.717,21.655
5.427,5.201,4.691,21.616
5.466,5.205,4.713,21.649
5.467,5.196,4.710,21.662
5.438,5.205,4.714,21.649
5.456,5.211,4.708,21.659
5.472,5.213,4.716,21.665
5.537,5.218,4.730,21.680
5.491,5.221,4.714,21.678
5.488,5.223,4.741,21.674
5.444,5.218,4.738,21.692
5.354,5.210,4.727,21.708
5.211,5.198,4.740,21.704
5.283,5.182,4.685,21.705
5.285,5.153,4.619,21.717
5.339,5.130,4.582,21.721
5.314,5.098,4.604,21.724
5.246,5.076,4.606,21.717
5.186,5.073,4.674,21.719
5.156,5.069,4.667,21.718
4.989,5.059,4.632,21.715
5.091,5.044,4.628,21.723
5.052,5.021,4.623,21.722
5.020,4.984,4.554,21.720
4.992,4.957,4.553,21.731
5.038,4.939,4.572,21.749
5.234,4.932,4.596,21.748
5.303,4.932,4.604,21.739
5.252,4.961,4.596,21.738
5.281,4.998,4.612,21.740
5.396,5.021,4.610,21.727
5.288,5.041,4.569,21.756
5.313,5.060,4.558,21.738
5.292,5.050,4.524,21.727
5.551,5.037,4.499,21.725
5.522,5.034,4.540,21.720
5.516,5.046,4.579,21.720
5.586,5.073,4.612,21.710
5.520,5.096,4.598,21.707
5.494,5.113,4.584,21.699
5.430,5.120,4.588,21.704
5.460,5.138,4.583,21.713
5.467,5.145,4.594,21.709
5.461,5.166,4.590,21.687
5.481,5.128,4.610,21.713
5.513,5.142,4.628,21.717
5.525,5.132,4.621,21.720
5.628,5.120,4.634,21.725
5.682,5.126,4.619,21.735
5.695,5.132,4.613,21.736
5.608,5.162,4.642,21.741
5.630,5.180,4.664,21.754
5.700,5.204,4.639,21.762
5.637,5.241,4.643,21.734
5.691,5.262,4.639,21.759
5.635,5.281,4.635,21.759
5.638,5.300,4.646,21.765
5.533,5.316,4.644,21.764
5.510,5.309,4.648,21.777
5.346,5.324,4.636,21.781
5.522,5.318,4.611,21.800
5.534,5.307,4.568,21.790
5.489,5.275,4.570,21.778
5.454,5.277,4.565,21.770
5.272,5.256,4.561,21.752
5.435,5.243,4.539,21.746
5.429,5.218,4.509,21.771
5.327,5.186,4.539,21.746
5.377,5.168,4.552,21.743
5.435,5.160,4.551,21.742
5.497,5.147,4.551,21.713
5.489,5.118,4.563,21.748
5.352,5.098,4.603,21.756
5.234,5.097,4.640,21.720
5.032,5.099,4.601,21.743
5.113,5.108,4.566,21.727
5.174,5.104,4.246,21.149
5.181,5.079,4.206,21.320
5.190,5.075,4.289,21.515
5.258,5.068,4.339,21.649
5.233,5.052,4.430,21.666
5.301,5.048,4.510,21.690
5.402,5.064,4.517,21.682
