DATE,valueadded.Food.and.beverage.and.tobacco.products
1/1/2000,160.611
4/1/2000,161.646
7/1/2000,163.718
10/1/2000,166.825
1/1/2001,170.968
4/1/2001,173.878
7/1/2001,175.555
10/1/2001,176.000
1/1/2002,175.212
4/1/2002,175.052
7/1/2002,175.520
10/1/2002,176.616
1/1/2003,178.341
4/1/2003,179.254
7/1/2003,179.357
10/1/2003,178.648
1/1/2004,177.129
4/1/2004,175.990
7/1/2004,175.230
10/1/2004,174.851
1/1/2005,174.411
4/1/2005,176.994
7/1/2005,180.003
10/1/2005,182.979
1/1/2006,187.454
4/1/2006,193.651
7/1/2006,195.786
10/1/2006,198.401
1/1/2007,190.816
4/1/2007,195.631
7/1/2007,197.105
10/1/2007,193.165
1/1/2008,184.718
4/1/2008,192.046
7/1/2008,201.583
10/1/2008,218.753
1/1/2009,229.425
4/1/2009,244.414
7/1/2009,239.256
10/1/2009,237.516
1/1/2010,233.083
4/1/2010,224.991
7/1/2010,220.218
10/1/2010,215.788
1/1/2011,209.427
4/1/2011,208.247
7/1/2011,206.343
10/1/2011,215.163
1/1/2012,215.569
4/1/2012,219.720
7/1/2012,228.509
10/1/2012,216.428
1/1/2013,221.754
4/1/2013,228.372
7/1/2013,231.726
10/1/2013,231.961
1/1/2014,230.189
4/1/2014,234.444
7/1/2014,243.633
10/1/2014,247.218
1/1/2015,257.935
4/1/2015,259.522
7/1/2015,265.083
10/1/2015,265.122
1/1/2016,262.374
4/1/2016,264.706
7/1/2016,266.511
10/1/2016,265.018
1/1/2017,263.879
4/1/2017,269.199
7/1/2017,270.156
10/1/2017,266.826
1/1/2018,264.602
4/1/2018,264.357
7/1/2018,264.823
10/1/2018,267.128
1/1/2019,273.150
4/1/2019,283.225
7/1/2019,294.949
10/1/2019,295.065
1/1/2020,295.560
4/1/2020,296.490
7/1/2020,311.814
10/1/2020,310.098
1/1/2021,318.030
4/1/2021,311.762
7/1/2021,325.281
10/1/2021,335.228
1/1/2022,308.400
4/1/2022,303.200
7/1/2022,312.500
10/1/2022,323.300
1/1/2023,338.300
4/1/2023,331.700
7/1/2023,341.600
10/1/2023,349.500
1/1/2024,348.800
