Date,  Manufacturing,    Durable goods,      Wood products,      Nonmetallic mineral products,      Primary metals,      Fabricated metal products,      Machinery,      Computer and electronic products,"      Electrical equipment, appliances, and components","      Motor vehicles, bodies and trailers, and parts",      Other transportation equipment,      Furniture and related products,      Miscellaneous manufacturing,    Nondurable goods,      Food and beverage and tobacco products,      Textile mills and textile product mills,      Apparel and leather and allied products,      Paper products,      Printing and related support activities,      Petroleum and coal products,      Chemical products,      Plastics and rubber products
2005Q1,1669927,944071,34806,47844,57763,120561,112395,209355,41948,136699,84167,32763,65770,725856,174411,21129,14132,51524,43895,134091,222769,63905
2005Q2,1667324,946404,34513,48429,55127,121787,112225,207990,41802,135813,89449,33476,65792,720919,176994,20552,13841,51254,44095,131937,219685,62559
2005Q3,1702922,960345,34538,49090,54487,122694,115422,213580,43366,136304,90318,34059,66488,742577,180003,20429,13875,50879,44928,148682,221730,62052
2005Q4,1729864,974560,34996,49906,57523,124241,117387,213645,45731,134900,94891,34463,66877,755304,182979,20561,13493,53033,44933,149434,227701,63170
2006Q1,1779246,1004289,34352,51541,60338,126259,120188,227963,49612,136031,93994,35138,68872,774957,187454,20554,13206,56115,45881,143856,243893,63998
2006Q2,1797245,1003880,32043,50605,62679,126141,121514,221938,51957,136973,94181,34937,70913,793365,193651,20281,12966,58106,46714,145510,252268,63869
2006Q3,1793241,993981,30543,49746,63993,126184,121380,220842,52059,128587,95558,34176,70913,799260,195786,19945,12669,58660,46957,141740,259408,64095
2006Q4,1804300,1014766,29770,50088,63683,128513,124408,225445,52072,134568,101278,33872,71068,789534,198401,19517,12593,59022,47729,128782,259488,64003
2007Q1,1800104,1011455,29792,47987,63105,132338,124955,223406,49334,130580,105454,33493,71012,788648,190816,19694,12331,53924,47788,136799,262730,64567
2007Q2,1856551,1030721,29367,49924,63854,134884,129885,227368,50076,126857,113548,32926,72032,825830,195631,19435,11856,53461,47530,162648,270339,64930
2007Q3,1862826,1047718,29052,53100,64727,136402,132664,231283,50162,125029,120580,32322,72399,815108,197105,19063,11649,57526,47669,147838,270950,63307
2007Q4,1863542,1034298,28116,50064,66573,135763,130817,231602,51612,117512,117463,31313,73463,829244,193165,18975,11554,58064,47847,171573,267693,60373
2008Q1,1802765,1012042,26746,46021,69835,132674,130577,229762,52979,106628,115206,29197,72416,790723,184718,18362,11712,50216,46361,168656,254601,56097
2008Q2,1818473,1010825,25965,45107,73217,133487,130698,232479,55387,97638,114462,28282,74104,807648,192046,17982,11878,49433,45596,164430,271799,54484
2008Q3,1831267,1005244,25387,44588,72745,133327,132708,234939,57447,85277,114644,27499,76682,826023,201583,17851,11456,51393,44716,169464,273966,55594
2008Q4,1755798,972814,24396,43345,59661,133213,132812,231723,56239,71833,114049,26446,79096,782984,218753,17166,11251,54562,44140,116794,262264,58053
2009Q1,1689749,897199,20916,39864,44530,121729,123871,223138,52157,50138,117167,23605,80084,792550,229425,15056,9828,57275,40705,97290,285683,57289
2009Q2,1673606,866775,20897,38509,38534,115721,117160,219303,50673,44258,117858,22879,80984,806832,244414,14941,9780,59336,39615,97836,281223,59687
2009Q3,1697790,865404,21300,38815,39386,115027,114776,222311,49842,44959,114958,22464,81567,832386,239256,15016,9797,60132,39230,116652,290586,61717
2009Q4,1742243,892148,21709,38165,41959,116679,118308,229365,49889,51738,119486,22297,82554,850095,237516,15450,10076,60161,38999,130747,294359,62787
2010Q1,1753090,910525,22151,37883,45182,115075,118398,233098,49916,67510,116412,21679,83219,842565,233083,15284,10102,57937,38745,123651,301582,62181
2010Q2,1784366,955920,23826,38807,50263,119717,125859,237942,51414,84781,118220,21900,83193,828446,224991,15725,10344,56660,39644,118063,301160,61859
2010Q3,1818165,990085,23548,38853,53097,122278,130552,241469,50767,99693,124291,21982,83555,828079,220218,15765,10641,55973,39732,119942,304234,61575
2010Q4,1843551,1005614,23762,38043,55194,122972,134578,248116,51013,103234,124151,21837,82713,837937,215788,15444,10469,54963,39708,133594,306211,61759
2011Q1,1842453,1005756,23327,37733,58153,124868,139972,238249,49278,105713,125343,21847,81274,836696,209427,15078,10299,54198,39360,145480,301148,61707
2011Q2,1870910,1006677,23363,38271,61633,126297,142631,238056,48079,100225,125764,21990,80368,864233,208247,15000,10128,53805,38957,165059,310321,62717
2011Q3,1875477,1013840,23776,39014,63455,127795,145361,236398,48033,100666,127241,22084,80018,861637,206343,15017,10015,53541,38531,170642,304633,62914
2011Q4,1905521,1045279,24263,40710,67355,130815,151472,238451,47848,111461,130442,22016,80447,860241,215163,15179,10084,53812,38292,155059,307741,64911
2012Q1,1921451,1053650,24734,41260,66566,136055,153365,239929,49396,111085,128369,22424,80468,867801,215569,15655,10003,52896,37997,167598,301971,66114
2012Q2,1937744,1069173,25290,42382,66866,137865,154043,241271,52347,117716,126664,22335,82395,868572,219720,15946,10104,53270,38616,158513,304898,67505
2012Q3,1946511,1067707,26100,43251,65252,138426,153114,241988,52839,115912,126547,22300,81977,878804,228509,16016,9908,53071,38433,156476,307915,68476
2012Q4,1932923,1070314,27148,43961,64366,139591,151418,241856,54028,118353,126026,22635,80933,862608,216428,16249,10011,53379,38719,153967,305102,68753
2013Q1,1984022,1092789,29075,45887,62655,141154,156051,246687,57509,118952,130188,23277,81354,891234,221754,16435,10273,55343,39285,159760,318663,69719
2013Q2,1969871,1093593,30042,46691,61319,141260,156979,243022,57739,121806,131774,23738,79223,876278,228372,16452,10227,56037,39165,135666,321077,69282
