Date,            Wages and salaries,Domestic industries,    Private industries,"        Agriculture, forestry, fishing, and hunting",            Farms1,"            Forestry, fishing, and related activities",        Mining,            Oil and gas extraction,"            Mining, except oil and gas",            Support activities for mining,        Utilities,        Construction,        Manufacturing,            Durable goods,                Wood products,                Nonmetallic mineral products,                Primary metals,                Fabricated metal products,                Machinery,                Computer and electronic products,"                Electrical equipment, appliances, and components","                Motor vehicles, bodies and trailers, and parts",                Other transportation equipment,                Furniture and related products,                Miscellaneous manufacturing,            Nondurable goods,                Food and beverage and tobacco products,                Textile mills and textile product mills,                Apparel and leather and allied products,                Paper products,                Printing and related support activities,                Petroleum and coal products,                Chemical products,                Plastics and rubber products,        Wholesale trade,            Durable goods,            Nondurable goods,        Retail trade,            Motor vehicle and parts dealers,            Food and beverage stores,            General merchandise stores,            Other retail2,        Transportation and warehousing,            Air transportation,            Rail transportation,            Water transportation,            Truck transportation,            Transit and ground passenger transportation,            Pipeline transportation,            Other transportation and support activities3,            Warehousing and storage,        Information,            Publishing industries (includes software),            Motion picture and sound recording industries,            Broadcasting and telecommunications,            Information and data processing services,        Finance and insurance,"            Federal Reserve banks, credit intermediation, and related activities","            Securities, commodity contracts, and investments",            Insurance carriers and related activities,"            Funds, trusts, and other financial vehicles",        Real estate and rental and leasing,            Real estate,            Rental and leasing services and lessors of intangible assets4,"        Professional, scientific, and technical services",            Legal services,            Computer systems design and related services,"            Miscellaneous professional, scientific, and technical services5",        Management of companies and enterprises6,        Administrative and waste management services,            Administrative and support services,            Waste management and remediation services,        Educational services,        Health care and social assistance,            Ambulatory health care services,            Hospitals,            Nursing and residential care facilities,            Social assistance,"        Arts, entertainment, and recreation","            Performing arts, spectator sports, museums, and related activities","            Amusements, gambling, and recreation industries",        Accommodation and food services,            Accommodation,            Food services and drinking places,"        Other services, except government",    Government,        Federal,            General government,                Civilian,                Military7,            Government enterprises,        State and local,            General government,                Education,                Other8,            Government enterprises8,Rest of the world,    Receipts from the rest of the world,    Less: Payments to the rest of the world9
1998,4181616,4186179,3484866,24227,15883,8344,29527,10294,11180,8053,34837,211377,681032,448212,16928,19301,27304,61338,62939,98855,21334,57149,39773,17768,25522,232820,54149,17305,14756,26487,28351,7363,53792,30617,242234,150519,91716,301906,58491,50613,40816,151986,145689,25926,12683,2391,44326,7997,3097,35000,14268,160904,50647,16491,72298,21468,293841,103858,87591,101598,794,58357,40193,18164,314858,55552,67607,191699,104709,155397,143937,11460,54627,368406,166311,124499,48116,29480,39587,18732,20855,132524,36877,95647,130827,701313,178872,141924,87876,54048,36948,522441,486083,257914,228169,36358,-4563,2437,7000
1999,4457926,4465176,3731410,24817,16169,8648,28626,10159,10973,7494,35856,233316,705792,467349,17861,20175,27463,62470,63288,107001,22256,61534,39994,18864,26442,238443,56244,17083,13605,26966,28892,7609,55872,32173,259617,162692,96926,322387,63416,52641,42908,163422,154664,28084,12702,2466,46894,8588,3223,37600,15106,187310,58731,16619,83824,28137,317099,110448,99179,106618,855,62553,43233,19321,351714,58960,82161,210593,112013,170121,157855,12267,58719,384755,171723,129517,50668,32847,43394,20857,22537,141716,39869,101846,136940,733766,183516,145800,90276,55524,37716,550250,511975,272334,239641,38275,-7250,4246,11496
2000,4824946,4832430,4052643,25901,16970,8931,29679,10922,10588,8169,38377,256698,744988,498927,18271,21431,27989,65539,66516,125314,23477,63437,39420,19829,27704,246061,58663,17071,13054,27400,29637,7533,59277,33426,282522,177618,104905,345491,67271,55265,46486,176469,164605,30584,12524,2510,49339,8878,4245,40151,16375,213360,63407,17668,93702,38583,348924,113885,122383,111720,937,67865,46854,21011,403668,64470,100587,238610,120709,189367,176899,12468,63722,410173,183352,136248,54567,36006,47998,23148,24850,151785,43199,108586,146812,779787,194988,154248,96288,57960,40740,584799,543989,290446,253543,40810,-7484,4395,11879
2001,4953635,4961629,4139631,26342,17919,8423,32281,11639,10817,9825,39764,272371,713374,473176,17436,21204,25804,63469,62434,114382,22642,58504,40375,19136,27790,240198,59857,15459,11737,26595,28423,7765,58593,31769,285192,176505,108687,354158,70336,56928,48251,178642,167572,32912,12215,2787,49366,8982,4240,40302,16767,212271,61270,19184,92158,39658,374725,127241,127647,118840,998,70384,48953,21431,412561,68935,97981,245644,119901,193055,180018,13037,68724,438524,195145,147934,58384,37061,50672,24502,26170,157181,43368,113813,150579,821998,199584,159516,97152,62364,40068,622414,576909,307928,268981,45505,-7994,4512,12507
2002,4995843,5004096,4131230,26506,17911,8595,30672,11219,10435,9018,39882,274015,679480,443529,17397,20922,23521,60395,57349,98883,20852,58156,39898,18561,27596,235951,60647,14702,10467,25987,27045,7809,57692,31601,282489,171327,111162,359186,72398,57613,50318,178856,165221,31141,11973,2923,48803,9191,3279,40339,17572,192375,56131,18336,85646,32262,370684,135071,112579,122061,973,72423,51305,21118,402261,72018,86103,244140,120658,196041,182469,13572,74974,470010,208217,159536,62193,40064,52589,25599,26989,161903,43050,118853,159861,872866,217368,176856,106032,70824,40512,655498,607344,323742,283602,48154,-8253,4570,12823
2003,5138269,5146959,4233007,26442,17574,8867,31205,11411,10292,9501,39390,278567,673544,437650,17387,20775,22999,59472,56117,95137,20407,59254,39533,18318,28251,235894,61861,13779,9771,25613,26377,7964,59121,31409,289905,174167,115738,367015,73791,58363,53097,181764,166842,29013,12267,3004,49604,9383,3192,41677,18701,188288,56263,18318,82709,30998,390160,150324,108765,130008,1063,75512,54082,21430,410165,76079,84712,249374,126092,200590,186488,14101,79532,499561,219415,172150,65061,42935,54855,26935,27920,168359,43392,124968,166983,913952,235689,195825,116049,79776,39864,678263,628109,335434,292675,50154,-8690,4671,13361
2004,5421014,5430827,4478488,28117,18954,9164,34676,12934,11011,10731,41010,296640,692896,453902,18730,21549,24091,62501,58597,97789,20862,59708,41792,18943,29339,238995,62568,13484,9614,25343,26681,8395,60827,32080,307412,184939,122473,379939,75782,58987,55150,190020,176699,28909,12958,3289,53085,10065,3178,44548,20667,194369,55975,19848,85258,33289,422462,156887,126170,138131,1274,81474,58922,22553,437107,79927,90820,266360,140846,217493,202434,15059,84341,532052,235379,183590,67964,45119,57213,28082,29131,179163,46470,132692,174576,952339,249928,207760,123112,84648,42168,702411,649879,346261,303618,52532,-9813,4734,14547
2005,5691379,5702993,4711673,28715,19022,9694,40273,14552,11987,13734,41906,321548,709671,467774,19755,22598,24491,65464,61257,101708,20919,58449,44229,19221,29683,241897,63536,12753,9143,25215,26756,9076,62970,32448,324776,196233,128543,392783,78091,59329,58019,197344,183725,27140,13724,3622,56465,10426,3189,46809,22348,197610,57716,20195,85005,34694,448884,165838,137876,143782,1388,87310,63697,23612,473722,83377,97989,292355,153601,232975,216993,15982,88276,560686,249650,193888,70026,47122,58798,28703,30095,188306,48635,139671,178109,991320,263352,221016,130164,90852,42336,727968,673423,359468,313955,54545,-11614,4796,16410
2006,6056739,6068318,5033793,30911,18764,12147,47921,17391,12924,17606,43599,354612,737077,492289,19944,23704,25732,69761,64898,108017,21910,58990,48623,19709,31001,244788,64670,12171,8924,25245,27276,9700,63580,33222,349162,211620,137542,407212,79874,60953,60651,205734,193950,27276,14410,3942,59910,11188,3600,49661,23963,206774,61449,20824,87068,37433,490232,176361,159104,153266,1500,94652,69303,25349,519710,87796,109368,322547,164687,248462,231538,16925,94296,598865,266460,207456,73976,50973,62865,31840,31025,200901,51139,149763,187905,1034524,271690,228334,134002,94332,43356,762834,705913,378219,327694,56921,-11579,5069,16648
2007,6396392,6407285,5318741,34004,21258,12746,53828,19039,13479,21310,46139,369738,751037,500844,18785,23819,25997,72874,67756,109759,22505,56468,51081,19447,32351,250193,66981,11660,8548,25345,27493,10703,66756,32707,371615,224807,146808,419751,81028,63046,63378,212299,205074,29708,14895,4539,61870,11836,4062,52302,25864,214385,65829,21592,95271,31693,526363,178385,187708,159725,545,97515,70944,26571,564951,92799,122117,350035,182461,266271,248672,17599,101163,638214,284182,220744,78465,54824,66381,33845,32536,212357,54180,158177,197492,1088544,283064,239348,140900,98448,43716,805480,745545,398912,346633,59935,-10894,5219,16113
