rgddp.lg,urint.lg,wgshr.lg,ppicty.lg,ffds.ts
9.227050772,7.185812529,4.214669794,4.750135956,4.03
9.231714117,7.236007629,4.219153262,4.753590191,4.06
9.242118845,7.259677373,4.219283385,4.754451889,3.98
9.241315162,7.277069116,4.216143713,4.75617306,3.73
9.238527263,7.326465614,4.216077329,4.763881877,3.82
9.25338693,7.374664237,4.214688428,4.770684624,3.76
9.254606126,7.356251176,4.214240185,4.769836808,3.25
9.252035905,7.337638914,4.215691801,4.768139014,3.3
9.256148571,7.343179095,4.213502698,4.770684624,3.22
9.261522435,7.346155179,4.206583722,4.771531723,3.1
9.263824834,7.305399622,4.209246513,4.768988271,3.09
9.268547957,7.365037889,4.223530334,4.767289035,2.92
9.264652216,7.313894317,4.21017297,4.770684624,3.02
9.267561373,7.280635287,4.21249171,4.774068722,3.03
9.266695941,7.23292796,4.210085674,4.776599302,3.07
9.267968981,7.247112595,4.212434267,4.781641329,2.96
9.273080965,7.241414574,4.212889347,4.784988613,3
9.275259196,7.244227516,4.210552537,4.783316371,3.04
9.271634699,7.22420496,4.212634696,4.780802755,3.06
9.275697589,7.226413279,4.214952392,4.776599302,3.03
9.283234636,7.217138374,4.212880344,4.776599302,3.09
9.282572844,7.23195346,4.210232806,4.779963476,2.99
9.292964238,7.229350139,4.207843862,4.779123493,3.02
9.295551271,7.197822146,4.222800213,4.775756487,2.96
9.294518915,7.229350139,4.212071289,4.779963476,3.05
9.300248533,7.250627537,4.210738751,4.781641329,3.25
9.305313313,7.235360065,4.21124551,4.784988613,3.34
9.306733329,7.219855879,4.213631454,4.784988613,3.56
9.316640036,7.197822146,4.213884529,4.786658062,4.01
9.317078728,7.16126455,4.212453948,4.791649753,4.25
9.315896069,7.17184666,4.213493455,4.793308128,4.26
9.323138738,7.144735248,4.211759716,4.797442074,4.47
9.318936986,7.122594784,4.21150453,4.795790546,4.73
9.328144474,7.137081923,4.210126759,4.794963758,4.76
9.327069074,7.032257265,4.207316209,4.799914263,5.29
9.336959366,7.003065459,4.205863828,4.803201036,5.45
9.336621772,6.98096397,4.204817377,4.811371017,5.53
9.328747213,6.938731207,4.204327918,4.816241156,5.92
9.337478534,6.956224364,4.203360978,4.819474789,5.98
9.331695155,7.044875729,4.204305279,4.825108606,6.05
9.334926525,6.975098851,4.200967907,4.827513417,6.01
9.345183279,6.908204616,4.201581887,4.830710862,6
9.339401174,6.962945465,4.201859542,4.830710862,5.85
9.345386604,6.944596326,4.200706322,4.829113417,5.74
9.352453375,6.926896749,4.200621574,4.829912459,5.8
